shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,0,0.5365,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.000588822178542614
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,1,0.5365,0.0,,,0.19600862998921253,0.006282990149445888,1,2,3,0.0,,,,0.020580914337188005
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,2,0.5739,0.9544768069039914,0.5220675005900401,0.674956137005111,0.5524811218985977,0.2887917408059253,3,4,3,3.0,,,,0.0594603237695992
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,3,0.6746,0.7348435814455232,0.6271404897808875,0.676733558513809,0.6724649406688243,0.43710750802731924,7,8,3,3.0,,,,0.09402896836400032
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,4,0.6414,0.6386192017259978,0.607678094847054,0.6227645697454239,0.7454009349154982,0.533616517061908,15,16,3,3.0,,,,0.14487388683483005
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,5,0.6234,0.7037756202804747,0.5768346595932803,0.6340136054421768,0.7572627925519442,0.5861058244229083,31,32,3,3.0,,,,0.22851141821593046
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,6,0.5692,0.7083063646170442,0.5262061227760859,0.6038256391392312,0.7918276617305746,0.5549872849743005,58,59,3,3.0,,,,0.37881821673363447
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,7,0.569,0.6923408845738943,0.5266699491219432,0.5982475764354959,0.8152152593900168,0.5817794179031084,98,99,3,3.0,,,,0.5644528581760824
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,8,0.549,0.5316073354908306,0.5130127003955861,0.5221445221445221,0.809273453320464,0.5606498840982921,151,152,3,3.0,,,,0.865389249753207
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,9,0.5464,0.5281553398058253,0.5103189493433395,0.5190839694656488,0.8257471920807158,0.5486634922973979,212,213,3,3.0,,,,1.1981566310860217
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,10,0.607,0.6623516720604099,0.5648574057037719,0.6097318768619663,0.8205326496588634,0.5364840754331608,287,288,3,3.0,,,,1.4795372770167887
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,11,0.6065,0.6440129449838188,0.5664136622390892,0.602725896012115,0.8225728155339809,0.5127254823096585,366,367,3,3.0,,,,1.8873720592819154
saddle_3d,0.003,10000,11,saddle_3d_fuzziness_003,3,wodt,12,0.5983,0.6433656957928803,0.5578002244668911,0.5975353171024947,0.8215815776148649,0.4970347928100469,443,444,3,3.0,,,,2.231512250844389
