seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,saddle_3d_fuzziness_005,3,cart,0,0.5045,0.0,,,0.0,0.0,0,1,9.029172360897064e-06
1,saddle_3d_fuzziness_005,3,cart,1,0.6505,0.943087790110999,0.5925691098148618,0.7278249357526672,0.44308779011099886,0.31624966721955183,1,2,45.63693457003683
1,saddle_3d_fuzziness_005,3,cart,2,0.8073,0.8244197780020182,0.794437961882536,0.8091512330395167,0.6256811301715439,0.36707509613654654,3,4,74.44099055882543
1,saddle_3d_fuzziness_005,3,cart,3,0.8117,0.8381432896064581,0.7934658005349637,0.8151928550397487,0.7023461150353176,0.38974055623327497,7,8,90.77148755593225
1,saddle_3d_fuzziness_005,3,cart,4,0.8386,0.8742684157416751,0.8138267894044712,0.8429655575014594,0.7631306760847627,0.449693389839648,15,16,101.89154097205028
1,saddle_3d_fuzziness_005,3,cart,5,0.8646,0.8900100908173562,0.8449894615826786,0.8669156673874583,0.8127339604830572,0.43733048690848175,30,31,108.53600391978398
1,saddle_3d_fuzziness_005,3,cart,6,0.8867,0.9045408678102926,0.8716452742123687,0.8877884520154502,0.8540632357887656,0.508162832063525,59,60,115.0557432807982
1,saddle_3d_fuzziness_005,3,cart,7,0.9033,0.8785065590312815,0.9226367104705384,0.9000310141631346,0.8678065203655327,0.49898367104611197,106,107,122.38202194217592
1,saddle_3d_fuzziness_005,3,cart,8,0.921,0.932795156407669,0.9100216578066549,0.9212676898544947,0.8692982403764056,0.48735321353436634,168,169,125.59684416092932
1,saddle_3d_fuzziness_005,3,cart,9,0.9333,0.925933400605449,0.9386252045826514,0.9322361068779843,0.8746489837105376,0.4871061799420775,244,245,127.76032935408875
1,saddle_3d_fuzziness_005,3,cart,10,0.9453,0.9410696266397578,0.9481496543310288,0.9445963739491543,0.8769987995938986,0.4968417786542132,326,327,130.54034079192206
1,saddle_3d_fuzziness_005,3,cart,11,0.953,0.9434914228052472,0.9609455292908531,0.9521384928716906,0.8742544630065654,0.4879935496762071,404,405,133.03054166771472
1,saddle_3d_fuzziness_005,3,cart,12,0.9598,0.9487386478304742,0.9694782429366879,0.9589963280293757,0.8722857411619831,0.4930129181787961,471,472,134.18536016298458
