seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,saddle_3d_fuzziness_007,3,co2,0,0.5277,1.0,0.5277,0.6908424428880016,0.0,0.0,0,1,0.0002517513930797577
1,saddle_3d_fuzziness_007,3,co2,1,0.6655,0.9458025393215842,0.62,0.7490057777444287,0.4458025393215841,0.30869565217391326,1,2,1.1344872070476413
1,saddle_3d_fuzziness_007,3,co2,2,0.7366,0.6498010233086982,0.8135231316725978,0.722503160556258,0.5401269660792116,0.2981933082422492,3,4,4.538901977241039
1,saddle_3d_fuzziness_007,3,co2,3,0.7404,0.9397384877771461,0.68522868591958,0.7925523413776571,0.5604374780042776,0.3276963205336154,6,7,12.587638393975794
1,saddle_3d_fuzziness_007,3,co2,4,0.8028,0.8159939359484556,0.8113811946485774,0.8136810279667422,0.6353312217439564,0.3626013352198374,13,14,14.642627990804613
1,saddle_3d_fuzziness_007,3,co2,5,0.8235,0.8717074095129809,0.8087201125175809,0.8390332877336981,0.7425127913587264,0.4033662067102435,24,25,15.173381138127297
1,saddle_3d_fuzziness_007,3,co2,6,0.8596,0.8311540648095509,0.8952847519902021,0.8620283018867925,0.791413582278607,0.39662441075836075,37,38,17.856551471166313
1,saddle_3d_fuzziness_007,3,co2,7,0.8521,0.8717074095129809,0.8515364679748242,0.8615038861316602,0.8210679382611488,0.38407446989338845,48,49,22.724098269827664
1,saddle_3d_fuzziness_007,3,co2,8,0.857,0.8326700776956604,0.8892936652499493,0.8600508905852418,0.8297710355099424,0.39440446766689474,56,57,23.324717681854963
1,saddle_3d_fuzziness_007,3,co2,9,0.8761,0.8561682774303582,0.9039615846338536,0.8794160583941606,0.8417298122376509,0.3907682453042791,72,73,22.938007826916873
1,saddle_3d_fuzziness_007,3,co2,10,0.878,0.8732234223990903,0.893196355882923,0.8830969720199309,0.8615933684154264,0.3960499477512016,77,78,19.928243720903993
1,saddle_3d_fuzziness_007,3,co2,11,0.8828,0.8789084707220012,0.8969251595436086,0.8878254211332312,0.8636350316194183,0.38635927431273775,96,97,24.136856587138027
1,saddle_3d_fuzziness_007,3,co2,12,0.8959,0.8671593708546522,0.9308380797396257,0.8978710880015698,0.8448402922535954,0.3908171602057693,116,117,22.77647682884708
