shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,0,0.5268,1.0,0.5268,0.6900707361802463,0.0,0.0,0,1,0,0.0,0.0,0.0,,0.000692254863679409
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,1,0.6683,0.9005315110098709,0.6294281544381053,0.7409605622803592,0.40053151100987106,0.24738241227694235,1,2,3,0.0,0.0,0.0,,66.71302278898656
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,2,0.8187,0.816628701594533,0.8355020392309186,0.8259575693577804,0.5660592255125285,0.33152289458610973,3,4,3,3.0,0.0,0.0,,112.22112700203434
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,3,0.8483,0.8528853454821564,0.858261700095511,0.8555650766447681,0.7051537585421412,0.32628632759524434,7,8,3,3.0,0.0,0.0,,145.91673771385103
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,4,0.8714,0.8633257403189066,0.8893234258897145,0.8761317665189753,0.7958665527714504,0.3965580604045271,15,16,3,3.0,0.0,0.0,,177.93322187801823
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,5,0.8909,0.8832574031890661,0.9071943848703451,0.8950658843897279,0.8582855497080617,0.4479829221078142,28,29,3,3.0,0.0,0.0,,206.02529049292207
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,6,0.9001,0.8902809415337889,0.9176286441009587,0.9037479525965892,0.8853381811810059,0.4975013778686934,51,52,3,3.0,0.0,0.0,,234.77156362729147
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,7,0.914,0.892369020501139,0.9413295955146176,0.9161956733580199,0.900047456340167,0.46493789106619765,79,80,3,3.0,0.0,0.0,,252.29063746193424
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,8,0.9222,0.9160971905846621,0.9349089500193724,0.9254074784276126,0.9169024175178191,0.48194442675425386,123,124,3,3.0,0.0,0.0,,274.0315733430907
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,9,0.9285,0.9244495064540622,0.938885675727781,0.9316116690578672,0.9283481419316453,0.505867178613111,170,171,3,3.0,0.0,0.0,,318.08978955307975
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,10,0.9368,0.9295747911921033,0.949398991857309,0.9393823134471514,0.9324494192615524,0.4850221652564344,208,209,3,3.0,0.0,0.0,,289.24613350303844
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,11,0.943,0.9297646165527714,0.9607689289917615,0.9450125409994211,0.9332606915024004,0.49284820409494245,253,254,3,3.0,0.0,0.0,,298.5329300221056
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,oc1,12,0.9489,0.9434320425208808,0.958904109589041,0.9511051574012056,0.9403856727672617,0.5025810879059991,289,290,3,3.0,0.0,0.0,,295.6920968936756
