shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,0,0.5268,1.0,0.5268,0.6900707361802463,0.0,0.0,0,1,0,0.0,,,,1.3470649719238281e-05
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,1,0.593,0.9669703872437357,0.5666295884315906,0.7145462196661523,0.46697038724373563,0.26684850652834924,1,2,3,0.0,,,,42.645440941210836
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,2,0.6559,0.9667805618830676,0.6092834071061132,0.747486607470463,0.7003606681852694,0.37211169635626096,3,4,3,3.0,,,,79.27223930787295
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,3,0.7337,0.9210326499620349,0.6834765459923933,0.7846688768496807,0.6468773728170085,0.335634506126512,7,8,3,3.0,,,,98.13460266776383
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,4,0.7837,0.8853454821564161,0.7494777438534469,0.8117657297015055,0.8472143128321943,0.3933741284878536,15,16,3,3.0,,,,125.61837831698358
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,5,0.8764,0.9001518602885346,0.8697725605282465,0.8847014925373133,0.8447465831435079,0.40345070558004004,31,32,3,3.0,,,,125.56666211597621
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,6,0.8811,0.9102126044039484,0.8700780257666485,0.889692921421282,0.9015919147487761,0.47468313005890006,57,58,3,3.0,,,,145.3967937072739
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,7,0.9005,0.8927486712224754,0.9162283265147088,0.9043361215267763,0.8900759301442673,0.4608308021768388,99,100,3,3.0,,,,136.70704576326534
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,8,0.9101,0.9085041761579347,0.9198539304247549,0.9141438258046033,0.9086771815499364,0.47591274622027946,157,158,3,3.0,,,,143.8377883201465
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,9,0.9216,0.9130599848139711,0.9365264797507789,0.924644367550942,0.8973161974933677,0.46759619363801863,242,243,3,3.0,,,,139.3684868090786
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,10,0.9274,0.9197038724373576,0.9411421911421911,0.9302995391705069,0.8984427706301146,0.48118644913785236,286,287,3,3.0,,,,146.1229413547553
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,11,0.9396,0.9265375854214123,0.9574342879560612,0.9417325873046499,0.8965637327944005,0.4808396113687181,398,399,3,3.0,,,,147.9720206898637
saddle_3d,0.007,10000,1,saddle_3d_fuzziness_007,3,randcart,12,0.9466,0.9413439635535308,0.9565972222222222,0.9489092996555684,0.8879227727826553,0.4851432147953778,472,473,3,3.0,,,,159.3572154850699
