seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,sine_wave_2d_fuzziness_000,2,co2,0,0.8426,0.0,,,0.0,0.0,0,1,8.753826841711998e-05
8,sine_wave_2d_fuzziness_000,2,co2,1,0.8426,0.0,,,0.4809402795425666,0.47617134718621057,1,2,0.3686281470581889
8,sine_wave_2d_fuzziness_000,2,co2,2,0.8426,0.0,,,0.5794155019059719,0.5773560601192798,2,3,1.2976997829973698
8,sine_wave_2d_fuzziness_000,2,co2,3,0.8694,0.48538754764930114,0.6063492063492063,0.5391672547635851,0.42725540025412956,0.5095831108795066,3,4,1.5185285350307822
8,sine_wave_2d_fuzziness_000,2,co2,4,0.891,0.4599745870393901,0.7510373443983402,0.5705279747832939,0.5036848792884372,0.5467756316528158,4,5,1.6335693933069706
8,sine_wave_2d_fuzziness_000,2,co2,5,0.9088,0.4434561626429479,0.9509536784741145,0.6048526863084922,0.5588733587462937,0.580261377210789,5,6,1.737206444144249
8,sine_wave_2d_fuzziness_000,2,co2,6,0.9088,0.4434561626429479,0.9509536784741145,0.6048526863084922,0.6218914503539663,0.6293530469574542,6,7,1.755605923011899
8,sine_wave_2d_fuzziness_000,2,co2,7,0.9088,0.4434561626429479,0.9509536784741145,0.6048526863084922,0.6685196950444727,0.5900533889007433,7,8,1.8244824321009219
8,sine_wave_2d_fuzziness_000,2,co2,8,0.9098,0.4548919949174079,0.9421052631578948,0.6135389888603257,0.7042213751235349,0.5959415719693262,8,9,1.84213428478688
8,sine_wave_2d_fuzziness_000,2,co2,9,0.9104,0.4548919949174079,0.9496021220159151,0.6151202749140894,0.7337992376111817,0.6411967428087304,9,10,1.8923684726469219
