shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,0,0.7687,0.0,,,0.0,0.0,0,1,0,0.0,,,,7.247086614370346e-06
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,1,0.7687,0.0,,,0.4213143104193686,0.3939183977651626,1,2,2,0.0,,,,26.446405731141567
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,2,0.7687,0.0,,,0.6451578037181149,0.444507336896693,3,4,2,2.0,,,,40.0376214007847
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,3,0.8405,0.909641158668396,0.602865329512894,0.7251421678442185,0.7928555987894508,0.5761936846172131,7,8,2,2.0,,,,49.050947985146195
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,4,0.8619,0.5745784695201037,0.7699884125144844,0.6580836840802179,0.8114731949848681,0.5847654849181394,15,16,2,2.0,,,,56.785173665732145
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,5,0.9299,0.8504107220060527,0.847114556416882,0.8487594390507013,0.8656722870730651,0.5856227503814311,29,30,2,2.0,,,,61.80171654606238
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,6,0.9438,0.8460873324686554,0.9047619047619048,0.8744414655942806,0.9151148786362795,0.6047972178307226,55,56,2,2.0,,,,68.12482290389016
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,7,0.9307,0.8798097708603545,0.8306122448979592,0.8545034642032332,0.9160830090791181,0.5791874742401011,89,90,2,2.0,,,,71.03501361701638
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,8,0.9559,0.8681366191093818,0.9365671641791045,0.9010545209782365,0.9081372367364591,0.5354415897429943,139,140,2,2.0,,,,70.79108891822398
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,9,0.961,0.8776480760916558,0.9499298081422555,0.9123595505617977,0.9006919553008375,0.5369373423724493,202,203,2,2.0,,,,70.74082359112799
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,10,0.962,0.8845654993514915,0.9476609541454377,0.9150268336314847,0.9043276357235497,0.5574665270425736,223,224,2,2.0,,,,71.72257395135239
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,11,0.9672,0.9260700389105059,0.9317094388864724,0.9288811795316566,0.9060039725949418,0.5289400262831885,280,281,2,2.0,,,,73.56529425503686
sine_wave_2d,0.003,10000,11,sine_wave_2d_fuzziness_003,2,randcart,12,0.9659,0.904885430177259,0.9453477868112015,0.9246741771592667,0.8967926748610644,0.5267245654689638,301,302,2,2.0,,,,73.72636302467436
