seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,sine_wave_2d_fuzziness_003,2,wodt,0,0.773,0.0,,,0.0,0.0,0,1,0.00026438990607857704
1,sine_wave_2d_fuzziness_003,2,wodt,1,0.773,0.0,,,0.13259911894273113,0.012394577831170261,1,2,0.01011838112026453
1,sine_wave_2d_fuzziness_003,2,wodt,2,0.5576,0.6079295154185022,0.28083028083028083,0.3841870824053452,0.5037444933920705,0.2952036737648762,3,4,0.02457738621160388
1,sine_wave_2d_fuzziness_003,2,wodt,3,0.6672,0.5788546255506608,0.3564839934888768,0.4412357286769644,0.683448709880428,0.5984956359104014,7,8,0.04689703322947025
1,sine_wave_2d_fuzziness_003,2,wodt,4,0.6586,0.2052863436123348,0.22447013487475914,0.21445006902899216,0.6367107195301025,0.5684583673450896,13,14,0.07715135300531983
1,sine_wave_2d_fuzziness_003,2,wodt,5,0.7002,0.43788546255506605,0.36597938144329895,0.3987164059366225,0.6513215859030836,0.6150461209322475,22,23,0.11869997531175613
1,sine_wave_2d_fuzziness_003,2,wodt,6,0.7042,0.4325991189427313,0.3702865761689291,0.3990247866720845,0.7122466960352423,0.6193391182449737,34,35,0.16125622997060418
1,sine_wave_2d_fuzziness_003,2,wodt,7,0.808,0.22995594713656387,0.7521613832853026,0.3522267206477733,0.7628101089728727,0.666753292492682,52,53,0.23568809777498245
1,sine_wave_2d_fuzziness_003,2,wodt,8,0.7148,0.42731277533039647,0.38461538461538464,0.40484140233722876,0.7687591776798826,0.6590889868454362,78,79,0.30547497514635324
1,sine_wave_2d_fuzziness_003,2,wodt,9,0.8148,0.23524229074889869,0.8215384615384616,0.36575342465753424,0.793619930123044,0.6621732128411977,114,115,0.43360191583633423
1,sine_wave_2d_fuzziness_003,2,wodt,10,0.815,0.22995594713656387,0.8365384615384616,0.3607463718037318,0.777035668608782,0.6339175724861452,164,165,0.5469536110758781
1,sine_wave_2d_fuzziness_003,2,wodt,11,0.816,0.22819383259911893,0.8547854785478548,0.36022253129346316,0.7897454723445911,0.6203112154601693,225,226,0.691023260820657
1,sine_wave_2d_fuzziness_003,2,wodt,12,0.7814,0.2748898678414097,0.5360824742268041,0.3634245777518928,0.8035022026431715,0.595678354566288,291,292,0.8249454307369888
