shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,0,0.7219,0.0,,,0.0,0.0,0,1,0,0.0,0.0,0.0,,0.0004772231914103031
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,1,0.7219,0.0,,,0.44714131607335506,0.4223962158579493,1,2,2,0.0,0.0,0.0,,45.815562358591706
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,2,0.8168,0.8665947500898957,0.6225781451821235,0.7245941070354781,0.5424907107755006,0.5110553859572384,2,3,2,2.0,0.0,0.0,,64.98555956920609
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,3,0.8413,0.736425746134484,0.7057201929703653,0.7207460848143586,0.5970514203523913,0.45159194795428603,4,5,2,2.0,0.0,0.0,,78.18929201923311
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,4,0.8722,0.7630348795397339,0.7741700109449107,0.768562115175661,0.655834232290543,0.4744353362757727,7,8,2,2.0,0.0,0.0,,86.2072626221925
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,5,0.9049,0.8245235526788924,0.8320029027576198,0.8282463427849016,0.736451430626188,0.47169487921382847,13,14,2,2.0,0.0,0.0,,93.83409940218553
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,6,0.91,0.829198130169004,0.8443793482240938,0.8367198838896952,0.7929234088457389,0.4516553236939149,24,25,2,2.0,0.0,0.0,,102.34865351114422
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,7,0.9109,0.8309960445882776,0.845900439238653,0.838382006167241,0.8166041677368538,0.46541183574068157,41,42,2,2.0,0.0,0.0,,108.41650817915797
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,8,0.9254,0.8140956490471054,0.9081427998395507,0.8585513841486537,0.8620949698349913,0.4643617293408835,71,72,2,2.0,0.0,0.0,,116.6296438681893
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,9,0.9313,0.8191298094210716,0.925264012997563,0.8689681480068663,0.8769954583775257,0.47189041102162976,118,119,2,2.0,0.0,0.0,,123.02908976469189
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,10,0.9365,0.8238043869111831,0.9404761904761905,0.8782825378570059,0.8948374852059027,0.49076150177119104,150,151,2,2.0,0.0,0.0,,125.12791311228648
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,11,0.9417,0.8504135203164329,0.934044233807267,0.8902691511387163,0.8933351312477527,0.48307598928643425,199,200,2,2.0,0.0,0.0,,135.84452995285392
sine_wave_2d,0.005,10000,1,sine_wave_2d_fuzziness_005,2,oc1,12,0.9493,0.870190578928443,0.9431021044427124,0.9051804750327286,0.9132945928708103,0.524630150982593,273,274,2,2.0,0.0,0.0,,151.60065891593695
