shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,0,0.6757,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.00041287485510110855
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,1,0.6757,0.0,,,0.1712920135676841,0.01667938073946451,1,2,2,0.0,,,,0.018370522186160088
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,2,0.5001,0.6379895158803577,0.3510349507974211,0.45288387873481445,0.543709528214616,0.36198678185155475,3,4,2,2.0,,,,0.0410133870318532
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,3,0.4921,0.20259019426456984,0.20857142857142857,0.2055373064289066,0.5189125295508275,0.34901720674217596,7,8,2,2.0,,,,0.06359243905171752
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,4,0.5542,0.8603145235892692,0.4105960264900662,0.5558876270173341,0.6747960642502733,0.4091653983576853,15,16,2,2.0,,,,0.11094785295426846
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,5,0.602,0.7875423990132593,0.4369546621043627,0.5620598591549295,0.7217768184465687,0.5134680792159334,30,31,2,2.0,,,,0.1814268878661096
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,6,0.5822,0.7841504779525131,0.4223550905165255,0.5490069084628669,0.7317180198771314,0.5487320191285987,56,57,2,2.0,,,,0.289840045850724
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,7,0.6046,0.8193031144002467,0.44099585062240665,0.573370738023306,0.7757518217375075,0.5781426109327821,99,100,2,2.0,,,,0.46225719479843974
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,8,0.607,0.7792167745914277,0.4401672182546595,0.5625556544968834,0.7906385495918999,0.6028062754956887,167,168,2,2.0,,,,0.687183350790292
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,9,0.652,0.7921677459142769,0.477953488372093,0.59619401253191,0.8071977873087957,0.6173977014933649,260,261,2,2.0,,,,0.9873491330072284
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,10,0.6123,0.8082022818378045,0.4460517358747447,0.5748437328654458,0.8289154608406328,0.6470454113643787,377,378,2,2.0,,,,1.2708165519870818
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,11,0.6052,0.7921677459142769,0.43967140167722063,0.5654853620955316,0.849220322348549,0.6657977007521132,517,518,2,2.0,,,,1.7332801017910242
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,wodt,12,0.601,0.7921677459142769,0.4365335598980459,0.5628834355828221,0.8585800185013874,0.661509577122378,670,671,2,2.0,,,,2.0055060437880456
