seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,star_2d_fuzziness_000,2,cart,0,0.7646,0.0,,,0.0,0.0,0,1,9.0012326836586e-06
11,star_2d_fuzziness_000,2,cart,1,0.7646,0.0,,,0.4694137638062872,0.4133620689655173,1,2,7.697089763823897
11,star_2d_fuzziness_000,2,cart,2,0.7646,0.0,,,0.6803313508920985,0.5573787745105303,3,4,11.941975247114897
11,star_2d_fuzziness_000,2,cart,3,0.8212,0.881053525913339,0.5790061418202122,0.6987870619946092,0.8172259983007646,0.6838944566529317,7,8,14.731444938108325
11,star_2d_fuzziness_000,2,cart,4,0.924,0.8343245539507221,0.8414738646101114,0.8378839590443686,0.8641218594489624,0.7391838176287375,13,14,15.847953644115478
11,star_2d_fuzziness_000,2,cart,5,0.9418,0.8768054375531011,0.8760611205432938,0.8764331210191083,0.8906209596985706,0.6550700097476705,22,23,16.53798681125045
11,star_2d_fuzziness_000,2,cart,6,0.9538,0.9651656754460493,0.8567119155354449,0.9077107471034759,0.8999200359838073,0.6236504818596273,33,34,17.32669846015051
11,star_2d_fuzziness_000,2,cart,7,0.975,0.9753610875106202,0.9228295819935691,0.9483684427922345,0.9143125177003681,0.6334937564961247,47,48,17.799510119017214
11,star_2d_fuzziness_000,2,cart,8,0.9876,0.9745114698385726,0.9728583545377438,0.9736842105263157,0.9156471254602097,0.5939580435901999,59,60,17.968610400799662
11,star_2d_fuzziness_000,2,cart,9,0.992,0.983857264231096,0.9821882951653944,0.9830220713073006,0.9145759408266281,0.5809872250300756,67,68,18.068013622891158
11,star_2d_fuzziness_000,2,cart,10,0.9924,0.9864061172472387,0.981403212172443,0.9838983050847459,0.9092072950733812,0.5696879151932086,72,73,18.076809252612293
11,star_2d_fuzziness_000,2,cart,11,0.9932,0.9855564995751912,0.9855564995751912,0.9855564995751912,0.9060083218961723,0.5552710465267479,77,78,18.24123020004481
11,star_2d_fuzziness_000,2,cart,12,0.9944,0.9855564995751912,0.9906063193851409,0.9880749574105623,0.9053919638601653,0.5515076419602312,81,82,18.65709871519357
