shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,0,0.7673,0.0,,,0.0,0.0,0,1,0,0.0,,,,7.268041372299194e-06
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,1,0.7673,0.0,,,0.45272883541039954,0.3758625607169155,1,2,2,0.0,,,,29.196416578721255
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,2,0.7673,0.0,,,0.6756553502363558,0.5199267492086888,3,4,2,2.0,,,,47.3703818609938
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,3,0.7823,0.8831113021057155,0.5189393939393939,0.653729918880229,0.8100021486892997,0.6307822528816862,7,8,2,2.0,,,,58.33861576905474
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,4,0.921,0.8813923506660937,0.7996101364522417,0.8385118560915781,0.8557072493471289,0.712125886872552,12,13,2,2.0,,,,63.44401437183842
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,5,0.9553,0.929522990975505,0.884300899427637,0.90634820867379,0.9138196533447935,0.6655589963781534,23,24,2,2.0,,,,67.7779252808541
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,6,0.9731,0.9587451654490761,0.9280366056572379,0.943140984992602,0.907331805376498,0.6041332902995327,35,36,2,2.0,,,,69.04492223775014
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,7,0.983,0.99054576708208,0.9396657154504688,0.9644351464435147,0.9115341641598627,0.5956958808013502,49,50,2,2.0,,,,70.60785882594064
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,8,0.9876,0.9862483884830253,0.9614578969417679,0.9736953754773016,0.9321897204349181,0.5842233698100265,72,73,2,2.0,,,,73.03575288504362
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,9,0.9864,0.99054576708208,0.9528730880529144,0.9713442899283607,0.9212520088773246,0.5168464500691661,72,73,2,2.0,,,,75.43273492204025
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,10,0.991,0.9785131070047272,0.9827362969356928,0.9806201550387598,0.9213694313135654,0.5085982101483129,74,75,2,2.0,,,,76.07043530512601
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,11,0.9942,0.9901160292221745,0.9850363403163745,0.9875696528075439,0.9099016658661747,0.5113001251750948,84,85,2,2.0,,,,76.37388050416484
star_2d,0.0,10000,1,star_2d_fuzziness_000,2,randcart,12,0.9965,0.9948431456811345,0.9901625320786998,0.9924973204715971,0.9138192723715126,0.48335403286321177,93,94,2,2.0,,,,76.35360551532358
