shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,0,0.6803,0.0,,,0.0,0.0,0,1,0,0.0,0.0,0.0,,0.0005484391003847122
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,1,0.6803,0.0,,,0.4530810134501093,0.3520597513277153,1,2,2,0.0,0.0,0.0,,46.19334510341287
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,2,0.7281,0.8245229903034095,0.5498539841468503,0.6597422099862346,0.6348920863309353,0.4709346611568883,3,4,2,2.0,0.0,0.0,,78.84980580816045
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,3,0.815,0.8001251172974664,0.6786946139559565,0.7344243468274477,0.7546360427186203,0.5957835044687332,6,7,2,2.0,0.0,0.0,,101.18675704207271
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,4,0.8877,0.9080387863622146,0.7778670953912111,0.8379275508731419,0.7907413199874884,0.5818020802410577,10,11,2,2.0,0.0,0.0,,114.56257309671491
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,5,0.9214,0.886456052549265,0.8701258827141541,0.8782150604276419,0.8226094316362766,0.5509538973079877,16,17,2,2.0,0.0,0.0,,122.43272171029821
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,6,0.923,0.8736315295589615,0.8841405508072174,0.8788546255506609,0.8489424352571915,0.5078813645218672,28,29,2,2.0,0.0,0.0,,130.7567202942446
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,7,0.9366,0.881138567406944,0.9172907847606643,0.898851308232291,0.8720178007791397,0.520546646672785,43,44,2,2.0,0.0,0.0,,140.44921041699126
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,8,0.9456,0.8708163903659681,0.9550600343053173,0.9109947643979058,0.8948968015723695,0.48414079794297016,66,67,2,2.0,0.0,0.0,,137.8262539198622
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,9,0.9475,0.886456052549265,0.9459279038718291,0.9152268690456968,0.9093299677750217,0.5095409027094808,85,86,2,2.0,0.0,0.0,,142.79340373678133
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,10,0.9541,0.9124178917735377,0.9421834625322998,0.9270618147147625,0.9304617239245736,0.5157009197361928,136,137,2,2.0,0.0,0.0,,159.2305903090164
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,11,0.9565,0.9049108539255553,0.9566798941798942,0.9300755505545732,0.9298132922233646,0.5169459692352876,167,168,2,2.0,0.0,0.0,,165.30703831510618
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,oc1,12,0.9587,0.9146074444791993,0.9543080939947781,0.9340360964702126,0.9372430339009832,0.5179368994397917,193,194,2,2.0,0.0,0.0,,161.86424477677792
