seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,star_2d_fuzziness_003,2,randcart,0,0.6814,0.0,,,0.0,0.0,0,1,6.197020411491394e-06
11,star_2d_fuzziness_003,2,randcart,1,0.6814,0.0,,,0.4742623979912115,0.39830311440364286,1,2,6.810356381814927
11,star_2d_fuzziness_003,2,randcart,2,0.6814,0.0,,,0.7076271186440677,0.5768041667278831,3,4,11.40780403604731
11,star_2d_fuzziness_003,2,randcart,3,0.7762,0.8769617074701821,0.6021551724137931,0.714030155890621,0.8142655367231639,0.6270231499820678,7,8,14.193847872316837
11,star_2d_fuzziness_003,2,randcart,4,0.8884,0.7608286252354048,0.8725701943844493,0.8128772635814888,0.8506382088302993,0.629395705233889,14,15,15.870362713932991
11,star_2d_fuzziness_003,2,randcart,5,0.904,0.8505963590709353,0.8484658735128365,0.8495297805642633,0.8885525961797147,0.6090598379203658,27,28,17.712562806904316
11,star_2d_fuzziness_003,2,randcart,6,0.9226,0.9158819836785939,0.8522196261682243,0.8829046898638427,0.9076820464532327,0.5512739738849097,47,48,18.730558440089226
11,star_2d_fuzziness_003,2,randcart,7,0.9422,0.9133709981167608,0.9059775840597758,0.9096592685214129,0.9107604917857088,0.5581087791092476,81,82,18.891746955923736
11,star_2d_fuzziness_003,2,randcart,8,0.9468,0.8939108600125549,0.9362261669953977,0.9145793192035966,0.9171928658469035,0.5549634417840819,101,102,19.464260309003294
11,star_2d_fuzziness_003,2,randcart,9,0.9572,0.928436911487759,0.9366687777074097,0.9325346784363178,0.9046620631931366,0.5449353009806308,149,150,20.009235728066415
11,star_2d_fuzziness_003,2,randcart,10,0.9634,0.933458882611425,0.9507672634271099,0.9420335761799176,0.9091213666532652,0.5382001925223825,177,178,20.42105063609779
11,star_2d_fuzziness_003,2,randcart,11,0.9686,0.9322033898305084,0.9680573663624511,0.9497921330348575,0.8897401742379005,0.5397166574967773,204,205,21.108551682904363
11,star_2d_fuzziness_003,2,randcart,12,0.966,0.9347143753923415,0.957556270096463,0.945997458703939,0.9019598966632867,0.5467388664136159,207,208,21.888493413105607
