shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,0,0.6803,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.0003838147968053818
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,1,0.6803,0.0,,,0.44838911479512045,0.33594833137907476,1,2,2,0.0,,,,0.028852364048361778
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,2,0.6537,0.8658116984673131,0.47707687004481214,0.6151794643849317,0.5428005421749558,0.3913000878008219,3,4,2,2.0,,,,0.05609517311677337
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,3,0.7953,0.8204566781357523,0.640380859375,0.7193198957904839,0.6973725367532062,0.48076697955632564,7,8,2,2.0,,,,0.09191972576081753
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,4,0.735,0.8589302471066625,0.5553083923154701,0.674527143208057,0.780453897751364,0.5370823395309876,14,15,2,2.0,,,,0.14121068501845002
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,5,0.805,0.8057553956834532,0.6596670934699104,0.7254294564911292,0.8304856115107913,0.5748069072552302,28,29,2,2.0,,,,0.21696046506986022
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,6,0.7303,0.8348451673443854,0.5516742455560149,0.664343497199751,0.855893546032739,0.6197319261336252,51,52,2,2.0,,,,0.3482261779718101
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,7,0.8566,0.782295902408508,0.7721518987341772,0.7771908017402113,0.8722423595650335,0.652554099773003,86,87,2,2.0,,,,0.5206481227651238
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,8,0.857,0.7650922740068814,0.78272,0.7738057576716229,0.856107998976313,0.6628317246749045,137,138,2,2.0,,,,0.7247747792862356
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,9,0.8653,0.7744760713168596,0.7981947130883301,0.7861565327829815,0.8668386045880279,0.6515244788076282,200,201,2,2.0,,,,0.958643770776689
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,10,0.8682,0.7600875821082265,0.8151626970815162,0.78666235027517,0.8506656631216765,0.6304938147551506,283,284,2,2.0,,,,1.2078692470677197
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,11,0.8648,0.7810447294338442,0.7929501429025088,0.7869524109675388,0.8202889484253808,0.6158855454909269,387,388,2,2.0,,,,1.4776819190010428
star_2d,0.003,10000,11,star_2d_fuzziness_003,2,wodt,12,0.8583,0.737566468564279,0.803133514986376,0.7689548345018751,0.8179418204566782,0.6093531557067706,500,501,2,2.0,,,,1.8185876486822963
