seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,star_2d_fuzziness_005,2,wodt,0,0.6292,0.0,,,0.0,0.0,0,1,0.000349575188010931
11,star_2d_fuzziness_005,2,wodt,1,0.6292,0.0,,,0.43257820927723856,0.26810377178008027,1,2,0.01789703220129013
11,star_2d_fuzziness_005,2,wodt,2,0.6288,0.88403451995685,0.4996951219512195,0.6384885079859758,0.5569938870909747,0.3387691086973703,3,4,0.03596910601481795
11,star_2d_fuzziness_005,2,wodt,3,0.6922,0.8403451995685005,0.5562299178864691,0.6693877551020408,0.6746494066882416,0.37241848518737997,7,8,0.06454672897234559
11,star_2d_fuzziness_005,2,wodt,4,0.7338,0.7993527508090615,0.6071282261368292,0.690104772991851,0.7705861201006834,0.3965869535716928,15,16,0.10817816387861967
11,star_2d_fuzziness_005,2,wodt,5,0.7336,0.7988133764832794,0.6069672131147541,0.6897997205402887,0.8455231930960085,0.5226151674975319,29,30,0.19363667024299502
11,star_2d_fuzziness_005,2,wodt,6,0.7328,0.8058252427184466,0.6048582995951417,0.6910268270120258,0.8352921137795946,0.5287101004469612,52,53,0.3113513090647757
11,star_2d_fuzziness_005,2,wodt,7,0.7408,0.7793959007551241,0.619639794168096,0.6903965599617773,0.8587254169778442,0.5646595319996885,90,91,0.5160710192285478
11,star_2d_fuzziness_005,2,wodt,8,0.7426,0.7777777777777778,0.622356495468278,0.691440901462479,0.8354417966068453,0.5838629452808377,144,145,0.7385839950293303
11,star_2d_fuzziness_005,2,wodt,9,0.831,0.7464940668824164,0.7868106878908471,0.7661223360088568,0.818794198729474,0.5844841229102005,218,219,1.0123906140215695
11,star_2d_fuzziness_005,2,wodt,10,0.8292,0.7540453074433657,0.7783964365256125,0.7660273972602739,0.8239482200647248,0.5624509060052243,304,305,1.2358068828471005
11,star_2d_fuzziness_005,2,wodt,11,0.8212,0.7335490830636462,0.7727272727272727,0.752628666297731,0.8275885686888924,0.5674940308124818,408,409,1.4882771610282362
11,star_2d_fuzziness_005,2,wodt,12,0.7688,0.6984897518878102,0.6844608879492601,0.6914041644420716,0.8289248471772743,0.5589302604454789,527,528,1.847780236043036
