shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,0,0.5683,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.0003275880590081215
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,1,0.5819,0.902246930738939,0.5088842435327933,0.6507392866093058,0.4022469307389389,0.23883592188593816,1,2,1,0.0,,,,43.35840787785128
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,2,0.7014,0.8285846652768126,0.614288167611197,0.7055226824457594,0.6177322214500811,0.405594635699253,3,4,2,1.0,,,,69.22645557206124
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,3,0.761,0.8413249942089414,0.6805321341577666,0.7524342241557904,0.7276175584896918,0.4489671610760899,7,8,2,1.0,,,,86.15830440027639
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,4,0.8254,0.7760018531387538,0.8113344635504965,0.7932749230404925,0.8070853602038452,0.4951547429350942,15,16,2,1.0,,,,97.36167205730453
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,5,0.8293,0.7709057215659022,0.8225407810182896,0.7958866435489658,0.848946774567165,0.5124070223561172,30,31,2,1.0,,,,105.44077149871737
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,6,0.8459,0.7866574009728978,0.8456175298804781,0.8150726029041161,0.869742405860944,0.5096665387200758,58,59,2,1.0,,,,111.98943794006482
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,7,0.861,0.7729905026638869,0.8905791299706431,0.8276289682539684,0.8809209589568021,0.508355854215603,108,109,2,1.0,,,,114.77869038423523
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,8,0.8705,0.7991660875608061,0.889633831872099,0.8419768151311775,0.8827773270026387,0.5113954510664811,178,179,2,1.0,,,,118.12143588019535
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,9,0.8788,0.8135279129024786,0.8961469762694565,0.8528411850412821,0.8749211525097556,0.49811838929063734,259,260,2,1.0,,,,122.95974005386233
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,10,0.8894,0.8193189715079917,0.9156096298213824,0.8647921760391198,0.8636116605192352,0.5026618702516925,363,364,2,1.0,,,,124.92299829795957
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,11,0.9006,0.8401667824878388,0.922665988298143,0.8794859359844811,0.8511980312315142,0.49161990072052975,483,484,2,1.0,,,,128.71255207899958
star_2d,0.007,10000,1,star_2d_fuzziness_007,2,ridge_cart,12,0.9102,0.8526754690757471,0.9335531321328937,0.8912832929782082,0.8441149890884265,0.4913357762928796,607,608,2,1.0,,,,130.04587099980563
