shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
barbell_2d,0.03,10000,11,2,hhcart_a,0,0.6483,0.0,,,0.0,0.0,0,1,0,0.0,6.866175681352615e-06
barbell_2d,0.03,10000,11,2,hhcart_a,1,0.6483,0.0,,,0.4815183394938866,0.4442197986301854,1,2,2,0.0,111.82987107383089
barbell_2d,0.03,10000,11,2,hhcart_a,2,0.8108,0.9550753483082172,0.6595326919301001,0.7802555168408827,0.7148848450383851,0.5989911410994988,3,4,2,2.0,180.58554039523003
barbell_2d,0.03,10000,11,2,hhcart_a,3,0.8454,0.946261017912994,0.7103521878335112,0.8115093879541574,0.8388896787034401,0.6018799116517353,7,8,2,2.0,218.24663994507864
barbell_2d,0.03,10000,11,2,hhcart_a,4,0.8779,0.9346033551322148,0.7683496961196821,0.8433611289288006,0.9005011373329541,0.5894688590492718,15,16,2,2.0,247.8709883959964
barbell_2d,0.03,10000,11,2,hhcart_a,5,0.8839,0.885698038100654,0.8040784718637067,0.842917061290759,0.9336219468572003,0.5976867466213107,30,31,2,2.0,277.34214456100017
barbell_2d,0.03,10000,11,2,hhcart_a,6,0.8896,0.9209553596815468,0.7968019680196802,0.8543919810076498,0.9435417582133534,0.5718650522662219,54,55,2,2.0,296.87561550410464
barbell_2d,0.03,10000,11,2,hhcart_a,7,0.9051,0.8984930338356554,0.8422174840085288,0.8694455908653185,0.9387703077662192,0.5761395092001433,86,87,2,2.0,309.8238765071146
barbell_2d,0.03,10000,11,2,hhcart_a,8,0.9212,0.9323286892237702,0.8563593627579003,0.8927307378164987,0.9347027561830924,0.5640969464388901,122,123,2,2.0,316.4757711640559
barbell_2d,0.03,10000,11,2,hhcart_a,9,0.9398,0.9263576912141028,0.904748680921966,0.9154256813711716,0.9320426635254616,0.5562316271257459,167,168,2,2.0,321.59701637597755
barbell_2d,0.03,10000,11,2,hhcart_a,10,0.9537,0.9192493602502132,0.9475381008206332,0.9331793909655072,0.9304932047025782,0.5576355430611548,212,213,2,2.0,325.5177628118545
barbell_2d,0.03,10000,11,2,hhcart_a,11,0.9611,0.9388683537105488,0.9499424626006904,0.9443729443729444,0.924917289885451,0.5489288769189145,257,258,2,2.0,329.6021492481232
barbell_2d,0.03,10000,11,2,hhcart_a,12,0.966,0.9388683537105488,0.9635249489349283,0.9510368663594472,0.9184205987778332,0.5400258336352501,304,305,2,2.0,333.71851991303265
