shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
barbell_2d,0.03,10000,11,2,randcart,0,0.6483,0.0,,,0.0,0.0,0,1,0,0.0,6.127636879682541e-06
barbell_2d,0.03,10000,11,2,randcart,1,0.6483,0.0,,,0.4599090133636621,0.3599438262194645,1,2,2,0.0,27.130334232002497
barbell_2d,0.03,10000,11,2,randcart,2,0.6483,0.0,,,0.6828973557008813,0.4648589781757399,3,4,2,2.0,46.76215041289106
barbell_2d,0.03,10000,11,2,randcart,3,0.7383,0.8831390389536536,0.5847138554216867,0.7035904405934987,0.8197682684105772,0.6174510140045575,7,8,2,2.0,58.207044349983335
barbell_2d,0.03,10000,11,2,randcart,4,0.8349,0.9323286892237702,0.698849104859335,0.7988792788402973,0.8843296843901052,0.585221271457014,15,16,2,2.0,67.37833404028788
barbell_2d,0.03,10000,11,2,randcart,5,0.7946,0.9624680125106624,0.6378368192952704,0.7672257479601088,0.9287424216019886,0.6545513031738726,30,31,2,2.0,75.91720527084544
barbell_2d,0.03,10000,11,2,randcart,6,0.8261,0.9343190218936592,0.6854401335002086,0.7907592347491277,0.926711766567776,0.5710657175617961,52,53,2,2.0,83.07975615328178
barbell_2d,0.03,10000,11,2,randcart,7,0.9031,0.9289166903611032,0.8196186653286502,0.8708516593362655,0.9331749987455888,0.6047898846199229,84,85,2,2.0,82.67389638302848
barbell_2d,0.03,10000,11,2,randcart,8,0.9323,0.8965027011657662,0.9096941719561454,0.9030502649291136,0.9390199981044453,0.5684110128020938,134,135,2,2.0,88.42227467522025
barbell_2d,0.03,10000,11,2,randcart,9,0.9415,0.9098663633778789,0.922722029988466,0.9162491052254832,0.9292384806730016,0.5304330464339848,166,167,2,2.0,85.75352623919025
barbell_2d,0.03,10000,11,2,randcart,10,0.9539,0.9178276940574354,0.9494117647058824,0.9333526095127948,0.9190610198571528,0.5292078328171699,233,234,2,2.0,85.99626447167248
barbell_2d,0.03,10000,11,2,randcart,11,0.9471,0.947682684105772,0.9061990212071778,0.9264767199444058,0.9189695582186466,0.5334635797561511,250,251,2,2.0,94.32477962272242
barbell_2d,0.03,10000,11,2,randcart,12,0.9613,0.9266420244526584,0.9619244391971664,0.9439536567704562,0.9147874476588423,0.5253177687674839,321,322,2,2.0,88.02119690133259
