shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
barbell_3d,0.03,10000,1,3,hhcart_d,0,0.8042,0.0,,,0.0,0.0,0,1,0,0.0,7.413327693939209e-06
barbell_3d,0.03,10000,1,3,hhcart_d,1,0.8042,0.0,,,0.21501532175689464,0.2557761971843475,1,2,3,0.0,79.14349952619523
barbell_3d,0.03,10000,1,3,hhcart_d,2,0.8183,0.27477017364657813,0.5754010695187166,0.3719322502592464,0.2890704800817161,0.36698975885552065,3,4,3,3.0,142.18168823514134
barbell_3d,0.03,10000,1,3,hhcart_d,3,0.83,0.6036772216547498,0.5612535612535613,0.5816929133858268,0.6178498467824309,0.5174076250600623,7,8,3,3.0,187.5609076730907
barbell_3d,0.03,10000,1,3,hhcart_d,4,0.8624,0.5449438202247191,0.6875,0.607977207977208,0.7637257405515834,0.627103681254698,15,16,3,3.0,215.07256413251162
barbell_3d,0.03,10000,1,3,hhcart_d,5,0.8751,0.5005107252298263,0.7833733013589129,0.61078217513244,0.8376598217745059,0.6329228249702907,28,29,3,3.0,229.3053509723395
barbell_3d,0.03,10000,1,3,hhcart_d,6,0.9106,0.8712972420837589,0.7265758091993185,0.7923827217835578,0.8735003705261468,0.6261768917433335,50,51,3,3.0,242.698176513426
barbell_3d,0.03,10000,1,3,hhcart_d,7,0.9231,0.8789581205311542,0.7638703950288505,0.8173830444075042,0.8842103935736894,0.6160106356053896,80,81,3,3.0,249.3483465090394
barbell_3d,0.03,10000,1,3,hhcart_d,8,0.943,0.8937691521961185,0.8285984848484849,0.85995085995086,0.8903206656015645,0.6117231468668789,116,117,3,3.0,252.73399191629142
barbell_3d,0.03,10000,1,3,hhcart_d,9,0.9559,0.8850868232890705,0.8891739353514623,0.8871256718710008,0.893781385135755,0.5970225589735305,166,167,3,3.0,261.4032728103921
barbell_3d,0.03,10000,1,3,hhcart_d,10,0.9664,0.9284984678243106,0.9026812313803376,0.9154078549848943,0.9000844212480352,0.6028390991891885,218,219,3,3.0,265.23933618236333
barbell_3d,0.03,10000,1,3,hhcart_d,11,0.9726,0.9412665985699693,0.9205794205794205,0.9308080808080806,0.8994719219438321,0.5977282845014944,258,259,3,3.0,266.11902486067265
barbell_3d,0.03,10000,1,3,hhcart_d,12,0.9752,0.9433094994892748,0.9309475806451613,0.9370877727042111,0.8967562805162719,0.5859709616587168,290,291,3,3.0,268.6473329011351
