shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
barbell_3d,0.05,10000,8,3,moc1,0,0.7595,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0012820614501833916
barbell_3d,0.05,10000,8,3,moc1,1,0.7733,0.28232848232848234,0.5565573770491803,0.37462068965517237,0.21767151767151782,0.23898211802155345,1,2,3,3.0,61.28412253037095
barbell_3d,0.05,10000,8,3,moc1,2,0.7894,0.587941787941788,0.5591142744167655,0.573165788406972,0.3086278586278588,0.367102919857236,3,4,3,3.0,110.96046096272767
barbell_3d,0.05,10000,8,3,moc1,3,0.8265,0.5521829521829522,0.6686807653575025,0.6048736051013437,0.5653697653697656,0.523942180138746,6,7,3,3.0,150.90238439198583
barbell_3d,0.05,10000,8,3,moc1,4,0.8441,0.5239085239085239,0.7526881720430108,0.6177984800196127,0.7390852390852394,0.5602214720721066,13,14,3,3.0,174.74239166919142
barbell_3d,0.05,10000,8,3,moc1,5,0.8612,0.5018711018711018,0.8639942734430923,0.634928984744871,0.7702079002079003,0.5864903558602566,19,20,3,3.0,186.7347065154463
barbell_3d,0.05,10000,8,3,moc1,6,0.8995,0.8457380457380458,0.7623688155922039,0.801892371377883,0.8168734491315137,0.5764989908299134,30,31,3,3.0,194.86015182267874
barbell_3d,0.05,10000,8,3,moc1,7,0.9171,0.8490644490644491,0.8141945773524721,0.8312639934866681,0.8655603855603857,0.5222674092036708,54,55,3,3.0,204.86697076633573
barbell_3d,0.05,10000,8,3,moc1,8,0.927,0.8615384615384616,0.8392061563385986,0.8502256873204761,0.8784636707713633,0.5686756281373617,77,78,3,3.0,212.2139758905396
barbell_3d,0.05,10000,8,3,moc1,9,0.9365,0.8482328482328483,0.8831168831168831,0.8653234358430542,0.8885077385077387,0.576765310875808,107,108,3,3.0,220.40833513252437
barbell_3d,0.05,10000,8,3,moc1,10,0.942,0.8278586278586278,0.923041261010663,0.872862779482683,0.8765871101871101,0.5106668173166109,124,125,3,3.0,223.93663266301155
barbell_3d,0.05,10000,8,3,moc1,11,0.9519,0.8586278586278586,0.9360834088848595,0.8956842333550207,0.9006917849023113,0.5328968064427377,170,171,3,3.0,235.12554413825274
barbell_3d,0.05,10000,8,3,moc1,12,0.9558,0.8711018711018711,0.9407274360125729,0.9045768566493955,0.9060182212014674,0.5599414205816364,190,191,3,3.0,236.02338736969978
