shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
barbell_3d,0.05,10000,8,3,oc1,0,0.7666,0.0,,,0.0,0.0,0,1,0,0.0,0.0005839457735419273
barbell_3d,0.05,10000,8,3,oc1,1,0.7666,0.0,,,0.17009425878320483,0.22946075347168082,1,2,3,0.0,66.51068527903408
barbell_3d,0.05,10000,8,3,oc1,2,0.7847,0.3226221079691517,0.5683018867924529,0.411587865537032,0.2532133676092547,0.36998017244483306,3,4,3,3.0,119.22931022569537
barbell_3d,0.05,10000,8,3,oc1,3,0.8107,0.6353898886032562,0.5873267326732673,0.6104136653632434,0.5910454155955445,0.4961196269694701,7,8,3,3.0,159.4967553159222
barbell_3d,0.05,10000,8,3,oc1,4,0.8482,0.5968294772922023,0.7071065989847716,0.6473048327137546,0.7188150324397111,0.5371862675130852,13,14,3,3.0,188.7848230553791
barbell_3d,0.05,10000,8,3,oc1,5,0.8657,0.6233933161953727,0.7582073996873372,0.6842229014813074,0.8001937334674567,0.611863462448923,22,23,3,3.0,198.25919158570468
barbell_3d,0.05,10000,8,3,oc1,6,0.896,0.8277634961439588,0.7517509727626459,0.7879282218597062,0.8244188296431434,0.6211896141726956,30,31,3,3.0,210.11275815218687
barbell_3d,0.05,10000,8,3,oc1,7,0.9199,0.8114824335904027,0.8399113082039912,0.8254521682283722,0.8346345488590561,0.5516107855360957,53,54,3,3.0,221.90215320698917
barbell_3d,0.05,10000,8,3,oc1,8,0.9267,0.8586118251928021,0.8325716659742418,0.8453912676650496,0.8643835751361679,0.5485193296927329,86,87,3,3.0,235.16782823204994
barbell_3d,0.05,10000,8,3,oc1,9,0.9395,0.8161953727506427,0.9154252763094666,0.8629671574178936,0.8745437811418957,0.5709305035517807,107,108,3,3.0,234.49183088634163
barbell_3d,0.05,10000,8,3,oc1,10,0.9494,0.8504712939160239,0.9267040149393091,0.8869526362823951,0.8743930305626961,0.5324036831509646,143,144,3,3.0,248.4159258333966
barbell_3d,0.05,10000,8,3,oc1,11,0.9588,0.87617823479006,0.9432656826568265,0.9084851177254553,0.8901628106255357,0.5267778246876316,199,200,3,3.0,258.200253165327
barbell_3d,0.05,10000,8,3,oc1,12,0.9583,0.8787489288774636,0.9386727688787185,0.9077229475547688,0.9117511879722673,0.5424244778415899,219,220,3,3.0,258.1675520502031
