shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_2d,0.03,10000,11,2,wodt,0,0.5807,0.0,,,0.0,0.0,0,1,0,0.0,0.00039335712790489197
radial_segment_2d,0.03,10000,11,2,wodt,1,0.5807,0.0,,,0.48044359647030754,0.4125590201555869,1,2,2,0.0,0.07805076893419027
radial_segment_2d,0.03,10000,11,2,wodt,2,0.6462,0.9737658001430957,0.5436027160165091,0.6977101845522898,0.7259122346768425,0.5601706277488869,3,4,2,2.0,0.17132746800780296
radial_segment_2d,0.03,10000,11,2,wodt,3,0.6804,0.43143334128309085,0.6901945822205265,0.5309656589374817,0.746035058430718,0.5955014013327136,7,8,2,2.0,0.26259317714720964
radial_segment_2d,0.03,10000,11,2,wodt,4,0.7488,0.6582399236823276,0.7189372232352175,0.6872509960159362,0.814288695444789,0.6333118348429903,15,16,2,2.0,0.3972764564678073
radial_segment_2d,0.03,10000,11,2,wodt,5,0.8163,0.9046029096112569,0.7252390057361376,0.8050514698079168,0.872653401928384,0.6292580872547275,28,29,2,2.0,0.5322470813989639
radial_segment_2d,0.03,10000,11,2,wodt,6,0.885,0.8848080133555927,0.8476125199908613,0.8658109684947491,0.9051687452944448,0.6718846412675126,51,52,2,2.0,0.7744611958041787
radial_segment_2d,0.03,10000,11,2,wodt,7,0.902,0.8848080133555927,0.8818635607321131,0.8833333333333333,0.9108514190317194,0.6253244722800215,82,83,2,2.0,0.9853687165305018
radial_segment_2d,0.03,10000,11,2,wodt,8,0.9113,0.857381349868829,0.9255921730175077,0.8901819982666832,0.9093073369226843,0.6123270291595777,130,131,2,2.0,1.317527768202126
radial_segment_2d,0.03,10000,11,2,wodt,9,0.9252,0.8659670880038158,0.9512706313859052,0.9066167290886392,0.9057953732411166,0.5865952764493463,189,190,2,2.0,1.6991389598697424
radial_segment_2d,0.03,10000,11,2,wodt,10,0.9329,0.8683520152635344,0.9683510638297872,0.9156293222683265,0.8946823422906012,0.5588518390771264,267,268,2,2.0,2.0834220685064793
radial_segment_2d,0.03,10000,11,2,wodt,11,0.935,0.887431433341283,0.9543472685303924,0.9196737518536826,0.8925746245752164,0.5574195607749386,366,367,2,2.0,2.440912799909711
radial_segment_2d,0.03,10000,11,2,wodt,12,0.9389,0.8888623896971143,0.962551652892562,0.9242405455672659,0.8910437463800212,0.5470101295090342,484,485,2,2.0,2.868719815276563
