shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_2d,0.07,10000,1,2,hhcart_d,0,0.5482,1.0,0.5482,0.7081772380829351,0.0,0.0,0,1,0,0.0,5.0067901611328125e-06
radial_segment_2d,0.07,10000,1,2,hhcart_d,1,0.6524,0.9487413352790952,0.6194616484040019,0.7495316328001153,0.4487413352790952,0.2795415299280113,1,2,2,0.0,59.66058828216046
radial_segment_2d,0.07,10000,1,2,hhcart_d,2,0.7079,0.9084275811747538,0.6730639275577781,0.7732318919338561,0.6690076614374316,0.34086109332961345,3,4,2,2.0,101.9337889496237
radial_segment_2d,0.07,10000,1,2,hhcart_d,3,0.7387,0.8715797154323239,0.7145207118289217,0.7852740570301586,0.7956950018241518,0.40396510134779495,7,8,2,2.0,135.65006014239043
radial_segment_2d,0.07,10000,1,2,hhcart_d,4,0.77,0.8484129879605983,0.7599673202614379,0.80175831753146,0.8637130609266694,0.4864703828444732,15,16,2,2.0,164.808867206797
radial_segment_2d,0.07,10000,1,2,hhcart_d,5,0.7723,0.8909157241882525,0.744171872619229,0.8109589041095889,0.8735741213668977,0.4938347528623541,29,30,2,2.0,185.05199195165187
radial_segment_2d,0.07,10000,1,2,hhcart_d,6,0.7821,0.8852608537030281,0.757925972200531,0.8166596550273455,0.8811714370999308,0.5018665474451449,54,55,2,2.0,196.79053303506225
radial_segment_2d,0.07,10000,1,2,hhcart_d,7,0.8175,0.8480481576067129,0.8241446552029782,0.8359255596511732,0.9016962606893288,0.5127641839542452,90,91,2,2.0,204.79141701944172
radial_segment_2d,0.07,10000,1,2,hhcart_d,8,0.8358,0.8631886172929588,0.8413940256045519,0.8521519899153611,0.9060600650484758,0.506994616269937,140,141,2,2.0,211.0677147032693
radial_segment_2d,0.07,10000,1,2,hhcart_d,9,0.8428,0.8737686975556366,0.8447971781305115,0.8590387374461981,0.9031689334227027,0.5009151170985402,214,215,2,2.0,216.67043290939182
radial_segment_2d,0.07,10000,1,2,hhcart_d,10,0.8674,0.8491426486683692,0.9031819945673264,0.8753290710793532,0.896488657364489,0.4967665851302965,304,305,2,2.0,222.11124008800834
radial_segment_2d,0.07,10000,1,2,hhcart_d,11,0.8822,0.8712148850784385,0.9100609756097561,0.8902143522833178,0.8920899112010003,0.5059672362025418,411,412,2,2.0,226.34174636378884
radial_segment_2d,0.07,10000,1,2,hhcart_d,12,0.895,0.8723093761400948,0.9318004676539361,0.9010740531373657,0.8788869075299715,0.49681529905013067,516,517,2,2.0,224.81054102256894
