shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.0,10000,11,3,cart,0,0.7607,0.0,,,0.0,0.0,0,1,0,0.0,1.061009243130684e-05
radial_segment_3d,0.0,10000,11,3,cart,1,0.7607,0.0,,,0.449017969076473,0.3420253997802009,1,2,1,0.0,43.57113310229033
radial_segment_3d,0.0,10000,11,3,cart,2,0.7607,0.0,,,0.6814667781027999,0.5108456652401596,3,4,2,1.0,70.30953857582062
radial_segment_3d,0.0,10000,11,3,cart,3,0.7607,0.0,,,0.7859903886335144,0.577189725167589,7,8,3,1.0,89.24554556701332
radial_segment_3d,0.0,10000,11,3,cart,4,0.7964,0.6694525699958211,0.5626975763962065,0.6114503816793894,0.8132350307444334,0.5974189906203924,13,14,3,1.0,98.61122680781408
radial_segment_3d,0.0,10000,11,3,cart,5,0.8519,0.8165482657751776,0.6522029372496663,0.7251809241046576,0.8270499100637732,0.6276952722534594,22,23,3,1.0,104.38324248977004
radial_segment_3d,0.0,10000,11,3,cart,6,0.8898,0.8035938152946093,0.7526418786692759,0.7772837510105094,0.8422428664802257,0.6091242521015396,38,39,3,1.0,109.07768725696953
radial_segment_3d,0.0,10000,11,3,cart,7,0.9135,0.8412035102381947,0.8058446757405925,0.8231445512165201,0.8586828771416632,0.6129629639305598,63,64,3,1.0,109.9434031676501
radial_segment_3d,0.0,10000,11,3,cart,8,0.9419,0.9381529460927706,0.8383121732636296,0.885426937487675,0.8754408692018387,0.6108485599239193,99,100,3,1.0,112.00614335294811
radial_segment_3d,0.0,10000,11,3,cart,9,0.9618,0.9385708315921436,0.90528012898025,0.9216249487074272,0.8863381505409964,0.5858866388520723,138,139,3,1.0,112.04904176201671
radial_segment_3d,0.0,10000,11,3,cart,10,0.9704,0.9803593815294608,0.9040462427745664,0.9406575781876504,0.8842799295215331,0.5556538937142077,170,171,3,1.0,113.00867893733084
radial_segment_3d,0.0,10000,11,3,cart,11,0.9812,0.970748015043878,0.9516591560835724,0.9611088125775756,0.8784845556484191,0.5477176043756771,191,192,3,1.0,115.24205509386957
radial_segment_3d,0.0,10000,11,3,cart,12,0.9842,0.972837442540744,0.9615861214374224,0.9671790610718736,0.8753395319682407,0.5474860946383087,207,208,3,1.0,114.9631864191033
