shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.0,10000,11,3,moc1,0,0.7616,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0012988317757844925
radial_segment_3d,0.0,10000,11,3,moc1,1,0.7616,0.0,0.0,0.0,0.48028523489932873,0.45348290798391533,1,2,3,3.0,62.67887385375798
radial_segment_3d,0.0,10000,11,3,moc1,2,0.786,0.9710570469798657,0.5278157774737802,0.6838995568685377,0.6412192393736018,0.6275082005924946,2,3,3,3.0,97.60234665125608
radial_segment_3d,0.0,10000,11,3,moc1,3,0.8264,0.9593120805369127,0.5825267447784004,0.7248811410459588,0.7145553691275168,0.661959681741541,3,4,3,3.0,113.41246258001775
radial_segment_3d,0.0,10000,11,3,moc1,4,0.8469,0.962248322147651,0.614190093708166,0.7497957182546168,0.8020134228187921,0.6350750310312865,5,6,3,3.0,128.23630620725453
radial_segment_3d,0.0,10000,11,3,moc1,5,0.8473,0.962248322147651,0.6148485660680783,0.7502861815208502,0.7491610738255035,0.6461577161834096,7,8,3,3.0,139.96924129128456
radial_segment_3d,0.0,10000,11,3,moc1,6,0.9005,0.910234899328859,0.735343951202982,0.8134957825679475,0.7643456375838922,0.6416544887711648,9,10,3,3.0,148.69096408598125
radial_segment_3d,0.0,10000,11,3,moc1,7,0.921,0.9316275167785235,0.7798455056179775,0.8490061162079512,0.8186800894854587,0.6627247079079217,14,15,3,3.0,155.05819688551128
radial_segment_3d,0.0,10000,11,3,moc1,8,0.9411,0.9391778523489933,0.8345136041744317,0.8837576475231893,0.8685936546674802,0.6507752135951534,21,22,3,3.0,159.3314472641796
radial_segment_3d,0.0,10000,11,3,moc1,9,0.9504,0.9077181208053692,0.8868852459016393,0.8971807628524047,0.8648396718866518,0.6273818211825009,26,27,3,3.0,165.98298087809235
radial_segment_3d,0.0,10000,11,3,moc1,10,0.9623,0.9131711409395973,0.9275671069450362,0.9203128302684422,0.878643336529243,0.6724388730308275,34,35,3,3.0,176.66432473808527
radial_segment_3d,0.0,10000,11,3,moc1,11,0.9719,0.9286912751677853,0.952258064516129,0.940327033340412,0.8876814421726238,0.6547785665141408,42,43,3,3.0,178.962118643336
radial_segment_3d,0.0,10000,11,3,moc1,12,0.9759,0.9437919463087249,0.9546033092914722,0.9491668424383042,0.8992090124640459,0.6619739398186453,48,49,3,3.0,181.42074285261333
