shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.03,10000,11,3,ridge_cart,0,0.6915,0.0,,,0.0,0.0,0,1,0,0.0,0.00024114735424518585
radial_segment_3d,0.03,10000,11,3,ridge_cart,1,0.6915,0.0,,,0.4494327390599677,0.3209766429129626,1,2,1,0.0,54.32503800932318
radial_segment_3d,0.03,10000,11,3,ridge_cart,2,0.6915,0.0,,,0.6315235008103728,0.4136068742601491,3,4,3,3.0,90.67243795655668
radial_segment_3d,0.03,10000,11,3,ridge_cart,3,0.7781,0.7893030794165316,0.6081418581418582,0.686979827902384,0.7655996758508918,0.517753089655762,7,8,3,3.0,110.72068809531629
radial_segment_3d,0.03,10000,11,3,ridge_cart,4,0.8285,0.8842787682333874,0.6676456191874695,0.7608422814112398,0.8364870340356565,0.5773488114577434,15,16,3,3.0,124.58064792118967
radial_segment_3d,0.03,10000,11,3,ridge_cart,5,0.8576,0.8982171799027553,0.713991239371296,0.7955785242606948,0.8787358184764991,0.5712634126913156,29,30,3,3.0,136.32414710335433
radial_segment_3d,0.03,10000,11,3,ridge_cart,6,0.876,0.8165316045380875,0.7889132477294081,0.8024848677922906,0.9091362026532204,0.5817432385114829,53,54,3,3.0,144.9694195855409
radial_segment_3d,0.03,10000,11,3,ridge_cart,7,0.8946,0.8839546191247974,0.796669588080631,0.8380454824830977,0.9273286835539853,0.5750074697033776,88,89,3,3.0,151.13986443541944
radial_segment_3d,0.03,10000,11,3,ridge_cart,8,0.9111,0.9410048622366288,0.8041551246537396,0.8672143390589993,0.9301158532925144,0.5767974214171272,134,135,3,3.0,159.20235228165984
radial_segment_3d,0.03,10000,11,3,ridge_cart,9,0.9388,0.9082658022690437,0.8949217502395401,0.9015444015444015,0.9264973478709293,0.555350318843238,175,176,3,3.0,161.31363579072058
radial_segment_3d,0.03,10000,11,3,ridge_cart,10,0.9491,0.9435980551053484,0.8967960566851509,0.9196019586163323,0.9239415925718355,0.5479773399166907,213,214,3,3.0,160.95714512560517
radial_segment_3d,0.03,10000,11,3,ridge_cart,11,0.9544,0.9238249594813615,0.9280364702051449,0.9259259259259259,0.918775057579118,0.5365800419954241,246,247,3,3.0,164.237125528045
radial_segment_3d,0.03,10000,11,3,ridge_cart,12,0.9636,0.9445705024311183,0.9378822014805278,0.9412144702842377,0.913680250057884,0.5324263520108778,279,280,3,3.0,165.31042585894465
