shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.07,10000,8,3,oc1,0,0.6127,0.0,,,0.0,0.0,0,1,0,0.0,0.0005976208485662
radial_segment_3d,0.07,10000,8,3,oc1,1,0.6127,0.0,,,0.4501678285566743,0.3530550943333266,1,2,3,0.0,65.24349354719743
radial_segment_3d,0.07,10000,8,3,oc1,2,0.7813,0.852569067906016,0.6714111427409516,0.7512228415424865,0.6450426026336173,0.4800430463544431,3,4,3,3.0,113.5828879037872
radial_segment_3d,0.07,10000,8,3,oc1,3,0.7911,0.8161631809966434,0.6965623622741296,0.7516347639995246,0.7264947807163147,0.4709155298592467,6,7,3,3.0,141.3152876496315
radial_segment_3d,0.07,10000,8,3,oc1,4,0.8225,0.8208107410276272,0.746244131455399,0.7817533505471537,0.7932774687228601,0.5267318001311156,10,11,3,3.0,164.43308979505673
radial_segment_3d,0.07,10000,8,3,oc1,5,0.8502,0.8481797056545314,0.7830750893921334,0.8143282102131879,0.7201000176661638,0.439301748068053,18,19,3,3.0,176.34828744502738
radial_segment_3d,0.07,10000,8,3,oc1,6,0.8553,0.8907823392718822,0.7711220384443451,0.8266443033425183,0.8272570789224547,0.4520707527690006,29,30,3,3.0,206.2764699859545
radial_segment_3d,0.07,10000,8,3,oc1,7,0.8883,0.8548928479215079,0.8564407656492499,0.8556661067321358,0.8635037438678028,0.553452079802994,59,60,3,3.0,214.7954705040902
radial_segment_3d,0.07,10000,8,3,oc1,8,0.9093,0.8659953524399691,0.8963121325494388,0.8808929743926461,0.8424581527322272,0.5042289005324261,93,94,3,3.0,221.9846823238768
radial_segment_3d,0.07,10000,8,3,oc1,9,0.9168,0.8812290214304157,0.9017173051519156,0.8913554452859754,0.878997045069857,0.4999630963826666,134,135,3,3.0,265.86809990089387
radial_segment_3d,0.07,10000,8,3,oc1,10,0.9251,0.8814872192099148,0.92170626349892,0.9011482116932824,0.8963356626362959,0.497672382581904,186,187,3,3.0,279.98359932005405
radial_segment_3d,0.07,10000,8,3,oc1,11,0.9308,0.8851019881229022,0.9327891156462584,0.908320084790673,0.8981773584019905,0.5204555054519571,219,220,3,3.0,289.8574680541642
radial_segment_3d,0.07,10000,8,3,oc1,12,0.9467,0.9127291505293056,0.9477211796246648,0.9298960936472446,0.9067218054819464,0.513368583461927,303,304,3,3.0,281.1981612611562
