shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
rectangle_2d,0.0,10000,1,2,wodt,0,0.7541,0.0,,,0.0,0.0,0,1,0,0.0,0.0002988469786942
rectangle_2d,0.0,10000,1,2,wodt,1,0.7541,0.0,,,0.4812932086213908,0.4371031727917607,1,2,2,0.0,0.060476959683001
rectangle_2d,0.0,10000,1,2,wodt,2,0.7541,0.0,,,0.7406466043106954,0.6708302707504323,3,4,2,2.0,0.1376685961149633
rectangle_2d,0.0,10000,1,2,wodt,3,0.782,1.0,0.5300711360206941,0.6928712313327697,0.8270977362071301,0.6948661846426099,5,6,2,2.0,0.2032692269422114
rectangle_2d,0.0,10000,1,2,wodt,4,0.9717,0.999593330622204,0.897080291970803,0.9455664550875168,0.8701199674664497,0.7554319715592972,7,8,2,2.0,0.2722336337901652
rectangle_2d,0.0,10000,1,2,wodt,5,0.9996,0.9983733224888166,1.0,0.9991859991859992,0.9050242153129506,0.7913348200063715,10,11,2,2.0,0.319140990730375
rectangle_2d,0.0,10000,1,2,wodt,6,0.9997,0.9987799918666124,1.0,0.9993896236012207,0.9195107454562516,0.7475142592878066,12,13,2,2.0,0.3518938850611448
rectangle_2d,0.0,10000,1,2,wodt,7,0.9997,0.9987799918666124,1.0,0.9993896236012207,0.9252599779236624,0.7217484008528783,14,15,2,2.0,0.3471488170325756
rectangle_2d,0.0,10000,1,2,wodt,8,0.9998,0.9991866612444082,1.0,0.9995931651749388,0.9302426460620848,0.7157894736842105,16,17,2,2.0,0.3714032131247222
rectangle_2d,0.0,10000,1,2,wodt,9,0.9998,0.9991866612444082,1.0,0.9995931651749388,0.9302426460620848,0.7157894736842105,17,18,2,2.0,0.3536152699962258
rectangle_2d,0.0,10000,1,2,wodt,10,0.9998,0.9991866612444082,1.0,0.9995931651749388,0.9302426460620848,0.7157894736842105,18,19,2,2.0,0.3832152630202472
rectangle_2d,0.0,10000,1,2,wodt,11,0.9998,0.9991866612444082,1.0,0.9995931651749388,0.9302426460620848,0.7157894736842105,19,20,2,2.0,0.3602454769425094
rectangle_2d,0.0,10000,1,2,wodt,12,0.9998,0.9991866612444082,1.0,0.9995931651749388,0.9302426460620848,0.7157894736842105,20,21,2,2.0,0.3743774709291756
