shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
rectangle_2d,0.03,10000,11,2,cart,0,0.6832,0.0,,,0.0,0.0,0,1,0,0.0,8.443836122751236e-06
rectangle_2d,0.03,10000,11,2,cart,1,0.6832,0.0,,,0.4551767676767675,0.3605106288111588,1,2,1,0.0,29.95996595779434
rectangle_2d,0.03,10000,11,2,cart,2,0.7282,0.8563762626262627,0.5452170418006431,0.6662573673870335,0.6518308080808082,0.492152226236737,3,4,1,1.0,48.69500495027751
rectangle_2d,0.03,10000,11,2,cart,3,0.804,0.834280303030303,0.6481118195193722,0.729505934308584,0.7885101010101012,0.6179205058951838,7,8,2,1.0,58.90272618411109
rectangle_2d,0.03,10000,11,2,cart,4,0.8892,0.7973484848484849,0.8442513368983957,0.8201298701298702,0.8500841750841754,0.6795344868879998,14,15,2,1.0,65.45738582778722
rectangle_2d,0.03,10000,11,2,cart,5,0.9056,0.8667929292929293,0.8402692778457772,0.853325046612803,0.8861677115987461,0.6661291987245042,28,29,2,1.0,69.44775962084532
rectangle_2d,0.03,10000,11,2,cart,6,0.9251,0.9258207070707072,0.8508848273861329,0.8867724867724868,0.9088220164609048,0.6485610994650384,53,54,2,1.0,72.42107436293736
rectangle_2d,0.03,10000,11,2,cart,7,0.9469,0.9217171717171716,0.9116453325007804,0.9166535865641188,0.9119533402203857,0.5970215068729816,87,88,2,1.0,74.07746976986527
rectangle_2d,0.03,10000,11,2,cart,8,0.9557,0.9103535353535354,0.9477489319750246,0.9286749315730156,0.9114502691145028,0.5737439721724187,136,137,2,1.0,75.49951004004106
rectangle_2d,0.03,10000,11,2,cart,9,0.9638,0.9305555555555556,0.9540453074433656,0.9421540428251838,0.9085908590859088,0.5677164470313538,201,202,2,1.0,76.16052888520062
rectangle_2d,0.03,10000,11,2,cart,10,0.9675,0.9270833333333334,0.9689871329594192,0.947572189062752,0.9029614325068872,0.5404893121532075,274,275,2,1.0,78.27755723008886
rectangle_2d,0.03,10000,11,2,cart,11,0.9726,0.946338383838384,0.9664732430689876,0.9562998405103668,0.9028698059310304,0.5314277214672738,342,343,2,1.0,77.0850662458688
rectangle_2d,0.03,10000,11,2,cart,12,0.9745,0.945391414141414,0.9733506662333442,0.9591673338670936,0.900770815572606,0.5226004109614173,390,391,2,1.0,77.74413986504078
