shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
rectangle_2d,0.05,10000,1,2,hhcart_a,0,0.6379,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,5.101785063743591e-06
rectangle_2d,0.05,10000,1,2,hhcart_a,1,0.6379,0.0,0.0,0.0,0.44062413697873515,0.3137715989338863,1,2,2,2.0,134.69882134068757
rectangle_2d,0.05,10000,1,2,hhcart_a,2,0.7254,0.8191107428887048,0.5865137433260826,0.6835676423138972,0.6189588511460922,0.4108891136988009,3,4,2,1.6666666666666667,223.23320695012808
rectangle_2d,0.05,10000,1,2,hhcart_a,3,0.8018,0.7616680475006904,0.7113747743100335,0.7356628434249133,0.7424399337199667,0.548700637325144,7,8,2,1.5714285714285714,273.7445919495076
rectangle_2d,0.05,10000,1,2,hhcart_a,4,0.8625,0.747859707263187,0.8542586750788643,0.7975261375349728,0.8232014636840654,0.5907013302547661,15,16,2,1.6666666666666667,301.6214264445007
rectangle_2d,0.05,10000,1,2,hhcart_a,5,0.8822,0.827671913835957,0.8439876091241904,0.8357501394311212,0.8585197459265397,0.5766602836095793,29,30,2,1.6551724137931034,321.10986621305346
rectangle_2d,0.05,10000,1,2,hhcart_a,6,0.9053,0.8500414250207126,0.8839747271682941,0.866676052372237,0.8917968595889056,0.6135545360569112,55,56,2,1.7818181818181817,335.7758105751127
rectangle_2d,0.05,10000,1,2,hhcart_a,7,0.9178,0.8666114333057167,0.902502157031924,0.8841927303465765,0.902256677318815,0.5808481440643212,97,98,2,1.7938144329896908,349.13785839919
rectangle_2d,0.05,10000,1,2,hhcart_a,8,0.9318,0.8917426125379729,0.9175902244955954,0.904481792717087,0.9041836729507327,0.5592803081263436,162,163,2,1.8271604938271604,364.11480355262756
rectangle_2d,0.05,10000,1,2,hhcart_a,9,0.9393,0.9094172880419773,0.921892497200448,0.9156124009453634,0.9038722694292476,0.5372673195540947,241,242,2,1.8547717842323652,374.3417880050838
rectangle_2d,0.05,10000,1,2,hhcart_a,10,0.947,0.9116266224799779,0.9401879806322985,0.9256870443073472,0.9004341955874684,0.5358555337249646,323,324,2,1.86687306501548,381.0878327805549
rectangle_2d,0.05,10000,1,2,hhcart_a,11,0.9537,0.9304059652029826,0.9410614525139664,0.935703374531315,0.8965470926077068,0.5287696340054959,402,403,2,1.8781094527363185,388.31281696725637
rectangle_2d,0.05,10000,1,2,hhcart_a,12,0.9599,0.9403479701739851,0.9484679665738162,0.9443905144917487,0.8926713203457397,0.5277133998026853,462,463,2,1.880952380952381,398.0366905061528
