shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
rectangle_2d,0.07,10000,1,2,hhcart_d,0,0.5928,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,9.20519232749939e-06
rectangle_2d,0.07,10000,1,2,hhcart_d,1,0.5928,0.0,0.0,0.0,0.47347740667976423,0.35372671743454753,1,2,2,2.0,57.858861470595
rectangle_2d,0.07,10000,1,2,hhcart_d,2,0.639,0.9413064833005894,0.5320655191560244,0.6798510109968073,0.7050589390962672,0.4954868662572489,3,4,2,2.0,99.30454404652119
rectangle_2d,0.07,10000,1,2,hhcart_d,3,0.8056,0.7735756385068763,0.7550335570469798,0.7641921397379913,0.787450884086444,0.5476626995609277,7,8,2,2.0,131.4508070209995
rectangle_2d,0.07,10000,1,2,hhcart_d,4,0.8241,0.7416502946954814,0.8103031929165548,0.7744582638799846,0.8565815324165029,0.5347075035017337,15,16,2,2.0,147.96187547966838
rectangle_2d,0.07,10000,1,2,hhcart_d,5,0.8465,0.8263752455795678,0.8025280228953017,0.8142770719903206,0.8985101506221349,0.5940778979947157,29,30,2,2.0,160.43682699557394
rectangle_2d,0.07,10000,1,2,hhcart_d,6,0.8746,0.8263752455795678,0.8601738241308794,0.842935871743487,0.9118414002500448,0.6145390517646951,54,55,2,2.0,167.3966782456264
rectangle_2d,0.07,10000,1,2,hhcart_d,7,0.8816,0.8253929273084479,0.8766301512780386,0.8502403238047052,0.9180309975987775,0.5805819833184613,89,90,2,2.0,174.9447049377486
rectangle_2d,0.07,10000,1,2,hhcart_d,8,0.889,0.8477406679764243,0.8756976154236428,0.8614923883204392,0.9149290866591144,0.571693854613031,136,137,2,2.0,180.12410150188953
rectangle_2d,0.07,10000,1,2,hhcart_d,9,0.8961,0.8413555992141454,0.8970934799685781,0.8683310100114053,0.9048347364027813,0.545262463673299,192,193,2,2.0,183.37528682872653
rectangle_2d,0.07,10000,1,2,hhcart_d,10,0.904,0.8381630648330058,0.9189553042541734,0.8767017724120216,0.8901180270286364,0.5283243663303243,263,264,2,2.0,185.33202507253736
rectangle_2d,0.07,10000,1,2,hhcart_d,11,0.9135,0.8600196463654224,0.9223070845404266,0.8900749777608337,0.8798156724662447,0.5224563563219191,360,361,2,2.0,188.73381241317838
rectangle_2d,0.07,10000,1,2,hhcart_d,12,0.9248,0.8774557956777996,0.9338734971249346,0.9047860217776653,0.8760454077142223,0.5204342564043853,470,471,2,2.0,192.51723803021014
