shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
rectangle_2d,0.07,10000,25,2,moc1,0,0.5928,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0013435203582048416
rectangle_2d,0.07,10000,25,2,moc1,1,0.5928,0.0,0.0,0.0,0.4165029469548134,0.2624993499514632,1,2,2,2.0,45.76443614345044
rectangle_2d,0.07,10000,25,2,moc1,2,0.7337,0.7760314341846758,0.6434534717980045,0.7035511521763331,0.5918467583497051,0.41207913090520476,3,4,2,2.0,79.9431026848033
rectangle_2d,0.07,10000,25,2,moc1,3,0.7895,0.7799607072691552,0.7242873432155074,0.7510937684758188,0.6912714005051923,0.4805351428768132,6,7,2,2.0,100.7741896500811
rectangle_2d,0.07,10000,25,2,moc1,4,0.849,0.81286836935167,0.8156727451946771,0.8142681426814269,0.7365749836280289,0.507448745352731,11,12,2,2.0,116.77877258788794
rectangle_2d,0.07,10000,25,2,moc1,5,0.8678,0.7900294695481336,0.8732356134636265,0.829551315110882,0.7640798952193841,0.45697223717662205,20,21,2,2.0,127.9369733761996
rectangle_2d,0.07,10000,25,2,moc1,6,0.8775,0.819007858546169,0.8723515563693435,0.8448385053831539,0.8023150852227472,0.47931195839031404,36,37,2,2.0,137.40732267592102
rectangle_2d,0.07,10000,25,2,moc1,7,0.8919,0.8160609037328095,0.9091655266757865,0.8601009447392262,0.8430132612966603,0.47929627491495785,63,64,2,2.0,148.8786850469187
rectangle_2d,0.07,10000,25,2,moc1,8,0.9008,0.8180255402750491,0.929927414852038,0.8703945649333682,0.8735200027817862,0.4954246433622602,112,113,2,2.0,157.42768906708807
rectangle_2d,0.07,10000,25,2,moc1,9,0.9088,0.8413555992141454,0.9279523293607801,0.8825347758887172,0.889142147924191,0.49360433290868233,166,167,2,2.0,167.34003723971546
rectangle_2d,0.07,10000,25,2,moc1,10,0.917,0.849950884086444,0.9404891304347827,0.8929308565531476,0.8976148983567749,0.4823084455753708,238,239,2,2.0,179.51893850788474
rectangle_2d,0.07,10000,25,2,moc1,11,0.9238,0.8691060903732809,0.9392250530785563,0.9028061224489795,0.9022300576380125,0.5121095968339058,301,302,2,2.0,189.86475634388626
rectangle_2d,0.07,10000,25,2,moc1,12,0.936,0.887278978388998,0.952293094359515,0.9186371726417494,0.9010072884717768,0.5165503828083551,416,417,2,2.0,210.0040725218132
