shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
rectangle_2d,0.07,10000,8,2,oc1,0,0.5905,0.0,,,0.0,0.0,0,1,0,0.0,0.0005449391901493
rectangle_2d,0.07,10000,8,2,oc1,1,0.5905,0.0,,,0.4203907203907202,0.264888232212914,1,2,2,0.0,47.30331389419735
rectangle_2d,0.07,10000,8,2,oc1,2,0.7204,0.8163614163614163,0.6205680341563022,0.7051255009491668,0.602869352869353,0.3662576692006538,3,4,2,2.0,83.14263554709032
rectangle_2d,0.07,10000,8,2,oc1,3,0.7846,0.748962148962149,0.731457190555688,0.7401061776061777,0.7307997557997561,0.4948299872603301,7,8,2,2.0,106.70410538325086
rectangle_2d,0.07,10000,8,2,oc1,4,0.8423,0.7426129426129426,0.8532547699214366,0.7940984462723594,0.7779696493982209,0.5268864450322999,13,14,2,2.0,122.28239078633489
rectangle_2d,0.07,10000,8,2,oc1,5,0.8588,0.7833943833943834,0.8593624430752745,0.8196218702095043,0.8033015873015876,0.5097313279813931,24,25,2,2.0,138.343146501109
rectangle_2d,0.07,10000,8,2,oc1,6,0.8777,0.7987789987789988,0.8912806539509537,0.842498390212492,0.8349490302978673,0.4971323418330566,42,43,2,2.0,150.98075851798058
rectangle_2d,0.07,10000,8,2,oc1,7,0.888,0.819047619047619,0.8984730779533887,0.8569238630556975,0.8573251933251935,0.5044819373790403,74,75,2,2.0,163.77732589421794
rectangle_2d,0.07,10000,8,2,oc1,8,0.8957,0.8471306471306471,0.8926917138445702,0.869314622227791,0.8691232793796897,0.5048991719748721,116,117,2,2.0,170.94061931408942
rectangle_2d,0.07,10000,8,2,oc1,9,0.9016,0.8402930402930403,0.9124900556881465,0.8749046529366896,0.8900576623119976,0.5155556498015998,172,173,2,2.0,182.1176755032502
rectangle_2d,0.07,10000,8,2,oc1,10,0.9135,0.8578754578754578,0.9254478398314014,0.8903814472183499,0.893012664545511,0.511099837782689,273,274,2,2.0,201.1432506418787
rectangle_2d,0.07,10000,8,2,oc1,11,0.9242,0.881074481074481,0.9301366331528744,0.9049410584399298,0.903338196931512,0.504495667799286,358,359,2,2.0,214.5272711049765
rectangle_2d,0.07,10000,8,2,oc1,12,0.9331,0.8913308913308914,0.9421786267423852,0.916049692558665,0.9039010428918686,0.5168842436670993,435,436,2,2.0,228.39908734010527
