shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
saddle_3d,0.0,10000,8,3,oc1,0,0.6064,0.0,,,0.0,0.0,0,1,0,0.0,0.0004695281386375427
saddle_3d,0.0,10000,8,3,oc1,1,0.6064,0.0,,,0.46239837398373984,0.3850753385080996,1,2,3,0.0,63.194628078490496
saddle_3d,0.0,10000,8,3,oc1,2,0.8053,0.922510162601626,0.6886023136734307,0.7885763926593551,0.6736534552845528,0.450521126122567,3,4,3,3.0,106.90882322844118
saddle_3d,0.0,10000,8,3,oc1,3,0.8389,0.9240345528455285,0.7348959385734491,0.8186831738885763,0.7597996515679439,0.5086474633819456,6,7,3,3.0,133.9508189605549
saddle_3d,0.0,10000,8,3,oc1,4,0.87,0.8927845528455285,0.8000910746812386,0.8439000960614793,0.8016444937176648,0.572532268024369,10,11,3,3.0,152.56130592431873
saddle_3d,0.0,10000,8,3,oc1,5,0.9001,0.896849593495935,0.8561726897889886,0.8760392108202011,0.8237804878048778,0.5308102430408155,14,15,3,3.0,169.13411318138242
saddle_3d,0.0,10000,8,3,oc1,6,0.9294,0.9202235772357723,0.9023418036870952,0.911194968553459,0.8322100984167737,0.5510763721834244,18,19,3,3.0,182.12539514899254
saddle_3d,0.0,10000,8,3,oc1,7,0.9376,0.9395325203252033,0.905484818805093,0.9221945137157108,0.8404048102981032,0.5019681475234672,23,24,3,3.0,195.61433112248778
saddle_3d,0.0,10000,8,3,oc1,8,0.9425,0.9247967479674797,0.9288083694820107,0.9267982176957351,0.822286208973201,0.46575085562527474,26,27,3,3.0,215.38552827946842
saddle_3d,0.0,10000,8,3,oc1,9,0.9523,0.931910569105691,0.9460923394377095,0.9389479073339306,0.8194391514227641,0.45626400125380995,31,32,3,3.0,227.080794589594
saddle_3d,0.0,10000,8,3,oc1,10,0.9616,0.9408028455284553,0.9608199273482096,0.9507060333761231,0.8476456639566394,0.47115025352567774,41,42,3,3.0,235.7190531268716
saddle_3d,0.0,10000,8,3,oc1,11,0.9651,0.9474085365853658,0.9633169723585637,0.9552965287562445,0.8440766550522649,0.4812815939127404,41,42,3,3.0,237.31971017923206
saddle_3d,0.0,10000,8,3,oc1,12,0.9641,0.945630081300813,0.9625032324799586,0.9539920543380751,0.8491349395201269,0.4532861320604651,40,41,3,3.0,228.9797220705077
