shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
saddle_3d,0.03,10000,1,3,hhcart_d,0,0.5367,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.8137507140636444e-05
saddle_3d,0.03,10000,1,3,hhcart_d,1,0.6416,0.9497086121303691,0.5676686879112373,0.710594315245478,0.44970861213036906,0.3456633602479253,1,2,3,3.0,84.30922124255449
saddle_3d,0.03,10000,1,3,hhcart_d,2,0.8263,0.8704942801640406,0.7800773694390716,0.8228093440783434,0.6526548672566372,0.41761208798515725,3,4,3,3.0,138.02830837015063
saddle_3d,0.03,10000,1,3,hhcart_d,3,0.8311,0.800992877185409,0.8287181777579277,0.8146196904840303,0.7464116123462119,0.4713098054514189,7,8,3,3.0,169.8517835298553
saddle_3d,0.03,10000,1,3,hhcart_d,4,0.8515,0.8668249514353551,0.8222768222768223,0.8439634338552066,0.7772645514065761,0.43805255019528544,14,15,3,3.0,192.32936495635659
saddle_3d,0.03,10000,1,3,hhcart_d,5,0.8813,0.9149579106410534,0.8424085850556439,0.8771857216761512,0.8207983208913565,0.4648817081484149,28,29,3,3.0,208.98381548840553
saddle_3d,0.03,10000,1,3,hhcart_d,6,0.9057,0.9119361105115475,0.8876050420168067,0.8996060896412221,0.8657804261354878,0.5291648885992526,55,56,3,3.0,221.86253099609166
saddle_3d,0.03,10000,1,3,hhcart_d,7,0.9234,0.9408590546082451,0.8985776128633272,0.9192323913960354,0.886244064321174,0.5477699885600167,95,96,3,3.0,232.05967875849456
saddle_3d,0.03,10000,1,3,hhcart_d,8,0.9401,0.9501402978631556,0.9228511530398323,0.936296926512815,0.8862797816075798,0.5301953605927965,148,149,3,3.0,241.74100680369884
saddle_3d,0.03,10000,1,3,hhcart_d,9,0.9537,0.9497086121303691,0.9503239740820735,0.950016193457843,0.8842373038142517,0.5186441532194619,209,210,3,3.0,243.6623468324542
saddle_3d,0.03,10000,1,3,hhcart_d,10,0.9644,0.9665443557090438,0.9570421030134644,0.9617697594501718,0.888195732856661,0.5105752693328922,276,277,3,3.0,246.78422694839537
saddle_3d,0.03,10000,1,3,hhcart_d,11,0.9707,0.9706453701705159,0.9662655779974215,0.9684505222353827,0.8871215543903919,0.5099464298845753,321,322,3,3.0,248.48080325499177
saddle_3d,0.03,10000,1,3,hhcart_d,12,0.9756,0.9699978415713361,0.9771689497716894,0.9735701906412477,0.884952184561705,0.5050829306962257,362,363,3,3.0,251.3202968761325
