shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
saddle_3d,0.05,10000,11,3,ridge_cart,0,0.5008,0.0,,,0.0,0.0,0,1,0,0.0,0.0002614622935652
saddle_3d,0.05,10000,11,3,ridge_cart,1,0.6568,0.9346955128205128,0.6003602676273804,0.7311187715449702,0.4346955128205128,0.304039747801929,1,2,1,0.0,58.81825586315245
saddle_3d,0.05,10000,11,3,ridge_cart,2,0.817,0.8503605769230769,0.7967342342342343,0.8226744186046512,0.6340144230769229,0.4407780959832015,3,4,3,3.0,95.61972267599776
saddle_3d,0.05,10000,11,3,ridge_cart,3,0.8214,0.8010817307692307,0.8345158597662772,0.8174570727718725,0.7323717948717949,0.400746430256123,7,8,3,3.0,116.230701666791
saddle_3d,0.05,10000,11,3,ridge_cart,4,0.8437,0.9066506410256412,0.8049084118797795,0.8527555346208195,0.7908153044871793,0.399076097102379,15,16,3,3.0,132.82237968593836
saddle_3d,0.05,10000,11,3,ridge_cart,5,0.8708,0.9160657051282052,0.8396988615497613,0.8762214983713356,0.8360001001602566,0.4408554503516104,31,32,3,3.0,142.7118887361139
saddle_3d,0.05,10000,11,3,ridge_cart,6,0.8927,0.9170673076923076,0.87416459805232,0.8951021605240005,0.8724787245800176,0.4984483484245381,57,58,3,3.0,150.66151261422783
saddle_3d,0.05,10000,11,3,ridge_cart,7,0.9048,0.90625,0.9033546325878594,0.9048,0.8880718954248368,0.485877789046355,101,102,3,3.0,157.44666800508276
saddle_3d,0.05,10000,11,3,ridge_cart,8,0.9188,0.9188701923076924,0.9185022026431718,0.9186861606248748,0.889493319180819,0.4543045168677606,153,154,3,3.0,165.8368790000677
saddle_3d,0.05,10000,11,3,ridge_cart,9,0.9329,0.9375,0.9287557054971224,0.9331073671617984,0.8885879378837123,0.4475334934828292,212,213,3,3.0,169.9625741201453
saddle_3d,0.05,10000,11,3,ridge_cart,10,0.9435,0.9413060897435898,0.9452826393079864,0.943290173642477,0.8851022950589555,0.4605423412975225,273,274,3,3.0,176.90739480080083
saddle_3d,0.05,10000,11,3,ridge_cart,11,0.9486,0.9352964743589745,0.9606995884773664,0.9478278522127488,0.8850172005413941,0.4706168821286016,340,341,3,3.0,179.23163421917707
saddle_3d,0.05,10000,11,3,ridge_cart,12,0.956,0.9471153846153846,0.964110929853181,0.9555375909458368,0.8853609677923704,0.4849535471497843,409,410,3,3.0,180.5092295948416
