shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
sine_wave_2d,0.03,10000,11,2,oc1,0,0.7702,0.0,,,0.0,0.0,0,1,0,0.0,0.0004831999540328
sine_wave_2d,0.03,10000,11,2,oc1,1,0.7702,0.0,,,0.4717145343777196,0.4590053313159259,1,2,2,0.0,45.91258245706558
sine_wave_2d,0.03,10000,11,2,oc1,2,0.8083,0.9416884247171452,0.5482645046871041,0.6930344275420336,0.6089353060632436,0.5925639011893191,2,3,2,2.0,62.34598856605589
sine_wave_2d,0.03,10000,11,2,oc1,3,0.8417,0.9199303742384682,0.6017648733276402,0.7275856134916538,0.674064403829417,0.5986776620880021,3,4,2,2.0,71.86765384906903
sine_wave_2d,0.03,10000,11,2,oc1,4,0.87,0.5195822454308094,0.8589928057553957,0.6475054229934925,0.6205395996518712,0.569690962705864,5,6,2,2.0,80.06042845919728
sine_wave_2d,0.03,10000,11,2,oc1,5,0.9054,0.8703220191470844,0.7552870090634441,0.8087343307723414,0.7071849917802919,0.5994241713512358,8,9,2,2.0,85.97483764728531
sine_wave_2d,0.03,10000,11,2,oc1,6,0.9379,0.8185378590078329,0.902158273381295,0.8583162217659137,0.7592937958473209,0.5762439115544584,13,14,2,2.0,90.8085769303143
sine_wave_2d,0.03,10000,11,2,oc1,7,0.9454,0.8324630113141862,0.9223722275795564,0.8751143641354072,0.8387970215646459,0.5388641596471417,26,27,2,2.0,96.32535100961104
sine_wave_2d,0.03,10000,11,2,oc1,8,0.9474,0.860313315926893,0.9060494958753436,0.8825892857142857,0.8581139886622917,0.5224226206864491,36,37,2,2.0,99.95574974035844
sine_wave_2d,0.03,10000,11,2,oc1,9,0.9545,0.8624891209747607,0.9344648750589344,0.8970355284000905,0.8887148244850596,0.4646164793295864,59,60,2,2.0,103.32265487173572
sine_wave_2d,0.03,10000,11,2,oc1,10,0.9567,0.8533507397737162,0.9533300923675256,0.9005740528128587,0.9100734713704536,0.5182767455253989,85,86,2,2.0,108.34344159811737
sine_wave_2d,0.03,10000,11,2,oc1,11,0.9603,0.8768494342906875,0.9464537341474872,0.9103230178450418,0.9264613272764584,0.5309888357281294,122,123,2,2.0,114.32432091189548
sine_wave_2d,0.03,10000,11,2,oc1,12,0.9646,0.8864229765013055,0.956338028169014,0.9200542005420056,0.9285714285714286,0.5078868193488941,153,154,2,2.0,118.29145428165792
