shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
sine_wave_2d,0.03,10000,47,2,wodt,0,0.7688,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.00034159421920776367
sine_wave_2d,0.03,10000,47,2,wodt,1,0.7688,0.0,0.0,0.0,0.476643598615917,0.46527214821533414,1,2,2,2.0,0.07242123689502478
sine_wave_2d,0.03,10000,47,2,wodt,2,0.8031,0.9463667820069204,0.5425241755516985,0.6896769109535068,0.7073961937716262,0.5964150023287509,3,4,2,2.0,0.13820371869951487
sine_wave_2d,0.03,10000,47,2,wodt,3,0.8338,0.9294982698961938,0.5890899122807017,0.7211409395973154,0.8319636678200695,0.5715752444389595,7,8,2,2.0,0.22593310195952654
sine_wave_2d,0.03,10000,47,2,wodt,4,0.8686,0.5103806228373703,0.8663729809104258,0.6423516603157322,0.8515895328719723,0.680829736721027,15,16,2,2.0,0.32323183212429285
sine_wave_2d,0.03,10000,47,2,wodt,5,0.8944,0.884083044982699,0.7217514124293786,0.7947122861586315,0.8995612951062779,0.6977841773606739,27,28,2,2.0,0.4611106691882014
sine_wave_2d,0.03,10000,47,2,wodt,6,0.9362,0.8555363321799307,0.866783523225241,0.8611232041793644,0.9171712802768164,0.6783893322102239,46,47,2,2.0,0.6137806922197342
sine_wave_2d,0.03,10000,47,2,wodt,7,0.9413,0.8737024221453287,0.8725701943844493,0.8731359412146099,0.9159953503460208,0.6641140828828445,73,74,2,2.0,0.7836446687579155
sine_wave_2d,0.03,10000,47,2,wodt,8,0.9471,0.8490484429065744,0.9160055996266916,0.881257014590348,0.909501488693973,0.6314923844249973,109,110,2,2.0,1.052697136066854
sine_wave_2d,0.03,10000,47,2,wodt,9,0.9515,0.8538062283737025,0.9306930693069307,0.8905932776900518,0.8955725070776974,0.6008654965719427,159,160,2,2.0,1.2748195976018906
sine_wave_2d,0.03,10000,47,2,wodt,10,0.9547,0.8559688581314879,0.9428299190090519,0.897302199047835,0.8902304351027024,0.5872216743041345,226,227,2,2.0,1.611858895048499
sine_wave_2d,0.03,10000,47,2,wodt,11,0.9583,0.875,0.9404927940492794,0.9065650907461348,0.8886341791618608,0.583630546676811,305,306,2,2.0,1.7537772497162223
sine_wave_2d,0.03,10000,47,2,wodt,12,0.9613,0.8775951557093425,0.9512423816221285,0.9129358830146233,0.8881374704912202,0.5641987595044415,399,400,2,2.0,2.0381606686860323
