shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
sine_wave_2d,0.05,10000,11,2,cart,0,0.723,0.0,,,0.0,0.0,0,1,0,0.0,6.27618283033371e-06
sine_wave_2d,0.05,10000,11,2,cart,1,0.723,0.0,,,0.4574007220216605,0.4316975536414655,1,2,1,0.0,26.662949366960675
sine_wave_2d,0.05,10000,11,2,cart,2,0.7946,0.8888086642599278,0.5850760456273765,0.705646316996274,0.6644404332129963,0.5172848264951697,3,4,1,1.0,40.90243042586371
sine_wave_2d,0.05,10000,11,2,cart,3,0.8311,0.7783393501805054,0.6672856700711854,0.7185469088485253,0.7527978339350181,0.5008482197691542,7,8,2,1.0,49.93941902043298
sine_wave_2d,0.05,10000,11,2,cart,4,0.8541,0.8025270758122743,0.7090909090909091,0.7529212531752753,0.8166967509025269,0.5077869475854853,15,16,2,1.0,55.97227225918323
sine_wave_2d,0.05,10000,11,2,cart,5,0.8783,0.8537906137184116,0.7444129682090022,0.7953590045401042,0.8629963898916966,0.5558979515255493,31,32,2,1.0,60.71396728372201
sine_wave_2d,0.05,10000,11,2,cart,6,0.8835,0.8653429602888086,0.7516462841015993,0.8044973988924317,0.8866309537673227,0.5903526793435703,61,62,2,1.0,64.33338104002178
sine_wave_2d,0.05,10000,11,2,cart,7,0.8957,0.8487364620938628,0.7902521008403361,0.8184508268059182,0.8884129408497641,0.5660190959515143,103,104,2,1.0,66.63183736568317
sine_wave_2d,0.05,10000,11,2,cart,8,0.9054,0.8512635379061372,0.8153526970954357,0.8329212292476158,0.8871048692436381,0.5537210446320462,163,164,2,1.0,67.66337365377694
sine_wave_2d,0.05,10000,11,2,cart,9,0.9227,0.8151624548736462,0.8963874553394204,0.8538476082435243,0.8838971341979767,0.5480179567006414,242,243,2,1.0,68.3976736990735
sine_wave_2d,0.05,10000,11,2,cart,10,0.9323,0.8335740072202166,0.9144554455445544,0.8721435316336166,0.8712801999444602,0.5274952933064041,324,325,2,1.0,68.87775765685365
sine_wave_2d,0.05,10000,11,2,cart,11,0.9373,0.8472924187725632,0.920031360250882,0.8821650065777109,0.8570020872338326,0.5153949046568826,402,403,2,1.0,69.65655611082911
sine_wave_2d,0.05,10000,11,2,cart,12,0.9419,0.8685920577617329,0.9172703011818528,0.8922677544965696,0.8511829689654642,0.5184250500703811,465,466,2,1.0,70.0788716590032
