shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
sine_wave_2d,0.05,10000,8,2,randcart,0,0.7216,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,2.2748485207557678e-05
sine_wave_2d,0.05,10000,8,2,randcart,1,0.7216,0.0,0.0,0.0,0.4504310344827587,0.42668325299331356,1,2,2,2.0,27.379219862632453
sine_wave_2d,0.05,10000,8,2,randcart,2,0.7582,0.9102011494252874,0.5389196086771586,0.676997061180871,0.6711566091954024,0.45635154769408137,3,4,2,2.0,42.03595373220742
sine_wave_2d,0.05,10000,8,2,randcart,3,0.8357,0.8861350574712644,0.6504086475085684,0.750190056256652,0.7807112068965518,0.49047113009380583,7,8,2,2.0,52.30719294771552
sine_wave_2d,0.05,10000,8,2,randcart,4,0.8659,0.6469109195402298,0.8341824918943955,0.7287072627958728,0.8280801005747125,0.6335203995607221,15,16,2,2.0,60.43801591731608
sine_wave_2d,0.05,10000,8,2,randcart,5,0.8721,0.6163793103448276,0.8905033731188375,0.728507747824241,0.8634818007662832,0.5424752556582018,29,30,2,2.0,65.86116678733379
sine_wave_2d,0.05,10000,8,2,randcart,6,0.9098,0.8099856321839081,0.8580669710806698,0.8333333333333335,0.874269005847953,0.5713712849032169,56,57,2,2.0,68.18153760395944
sine_wave_2d,0.05,10000,8,2,randcart,7,0.9127,0.8448275862068966,0.8421052631578947,0.8434642280796126,0.8698719124480312,0.5257483631544528,93,94,2,2.0,72.25633972790092
sine_wave_2d,0.05,10000,8,2,randcart,8,0.9211,0.8351293103448276,0.8757062146892656,0.8549365692222836,0.8952886710239656,0.5580997886187391,152,153,2,2.0,74.9106313418597
sine_wave_2d,0.05,10000,8,2,randcart,9,0.9284,0.8347701149425287,0.9007751937984496,0.8665175242356451,0.8948364474150592,0.5505474235005736,226,227,2,2.0,78.48617458716035
sine_wave_2d,0.05,10000,8,2,randcart,10,0.9327,0.8710488505747126,0.8853596202993793,0.8781459351801557,0.8994228766489241,0.533905850259583,297,298,2,2.0,78.26102217752486
sine_wave_2d,0.05,10000,8,2,randcart,11,0.9448,0.8764367816091954,0.9214501510574018,0.8983799705449189,0.8691650128173325,0.5373263998569124,416,417,2,2.0,77.23998806159943
sine_wave_2d,0.05,10000,8,2,randcart,12,0.9488,0.884698275862069,0.9280331574981161,0.9058477381390218,0.857162921348315,0.5230294925588905,444,445,2,2.0,77.72056466527283
