shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
star_2d,0.0,10000,11,2,hhcart_a,0,0.7673,0.0,,,0.0,0.0,0,1,0,0.0,8.201226592063904e-06
star_2d,0.0,10000,11,2,hhcart_a,1,0.7673,0.0,,,0.48710786420283614,0.4557191843611128,1,2,1,0.0,133.9695145804435
star_2d,0.0,10000,11,2,hhcart_a,2,0.7673,0.0,,,0.6700687580575848,0.5245469169862582,3,4,2,1.5,221.41067751962692
star_2d,0.0,10000,11,2,hhcart_a,3,0.8216,0.826385904598195,0.5821980018165305,0.6831261101243339,0.7985066609368283,0.6466194984166205,7,8,2,1.5,268.10785888228565
star_2d,0.0,10000,11,2,hhcart_a,4,0.922,0.8001718951439621,0.8553054662379421,0.8268206039076376,0.8528147829823807,0.6654167871474879,13,14,2,1.5,292.11770409345627
star_2d,0.0,10000,11,2,hhcart_a,5,0.9496,0.8551783412118608,0.9225776541492814,0.8876003568242641,0.8636093887490539,0.6748949729252731,20,21,2,1.5,305.80012227315456
star_2d,0.0,10000,11,2,hhcart_a,6,0.9661,0.9488611946712505,0.9093904448105437,0.9287066246056782,0.876360258951717,0.6204635215624026,30,31,2,1.5,315.99632150959224
star_2d,0.0,10000,11,2,hhcart_a,7,0.9841,0.984099699183498,0.9494195688225538,0.9664486178518674,0.8937401518407109,0.5837638098528197,44,45,2,1.5,318.590450511314
star_2d,0.0,10000,11,2,hhcart_a,8,0.9903,0.9806617963042544,0.9777206512425022,0.9791890152327827,0.9113561695107919,0.5736359587632271,61,62,2,1.5,320.9791606059298
star_2d,0.0,10000,11,2,hhcart_a,9,0.9955,0.9883970777825526,0.9922346850733391,0.9903121636167923,0.916457843832146,0.5610440956355394,76,77,2,1.5,326.01284366101027
star_2d,0.0,10000,11,2,hhcart_a,10,0.997,0.9909755049419854,0.9961123110151188,0.993537268418785,0.921968394733758,0.5449755540026722,87,88,2,1.5,325.99240670725703
star_2d,0.0,10000,11,2,hhcart_a,11,0.9972,0.9922647185217017,0.9956877964639931,0.9939733103745156,0.9242119915547167,0.536295747337217,91,92,2,1.5,326.1510712588206
star_2d,0.0,10000,11,2,hhcart_a,12,0.9972,0.9922647185217017,0.9956877964639931,0.9939733103745156,0.9258245023727014,0.5390966109917525,93,94,2,1.5,327.45415584743023
