shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
star_2d,0.03,10000,1,2,cart,0,0.682,0.0,,,0.0,0.0,0,1,0,0.0,1.1784955859184265e-05
star_2d,0.03,10000,1,2,cart,1,0.682,0.0,,,0.45534591194968566,0.35582881286290013,1,2,1,0.0,30.065417788922787
star_2d,0.03,10000,1,2,cart,2,0.7102,0.8682389937106918,0.5269083969465649,0.6558194774346793,0.6569182389937107,0.4869256487747553,3,4,1,1.0,48.494046062231064
star_2d,0.03,10000,1,2,cart,3,0.7948,0.8477987421383648,0.6322701688555347,0.7243417517463728,0.781839622641509,0.5796825735722582,7,8,2,1.0,59.07565447688103
star_2d,0.03,10000,1,2,cart,4,0.8772,0.7210691823899371,0.8705391040242977,0.7887856897144822,0.8498820754716983,0.6743413906861482,15,16,2,1.0,66.10507141891867
star_2d,0.03,10000,1,2,cart,5,0.8921,0.7867924528301887,0.8618670341026524,0.8226204175571264,0.8761817812943804,0.6355137137528828,30,31,2,1.0,69.14969370979816
star_2d,0.03,10000,1,2,cart,6,0.9084,0.8484276729559749,0.8614303959131545,0.8548795944233206,0.8944882790165811,0.5949535061704463,54,55,2,1.0,72.17943567875773
star_2d,0.03,10000,1,2,cart,7,0.9344,0.8572327044025158,0.9310109289617486,0.8925998690242305,0.902692389230443,0.5557901377155268,88,89,2,1.0,76.13573944568634
star_2d,0.03,10000,1,2,cart,8,0.9465,0.9062893081761006,0.9240141070856044,0.9150658834735673,0.9034545620271628,0.5434197491407311,137,138,2,1.0,75.94389574695379
star_2d,0.03,10000,1,2,cart,9,0.9537,0.9078616352201258,0.9443899247628393,0.925765592432259,0.9025188214518076,0.5323906451468021,202,203,2,1.0,77.66687407996505
star_2d,0.03,10000,1,2,cart,10,0.9596,0.9147798742138364,0.9562787639710717,0.9350691096110575,0.8972195828243066,0.5251450834958769,277,278,2,1.0,78.28343432303518
star_2d,0.03,10000,1,2,cart,11,0.9632,0.9169811320754717,0.9655629139072848,0.9406451612903226,0.8907347305499018,0.515578942636671,342,343,2,1.0,79.79764164239168
star_2d,0.03,10000,1,2,cart,12,0.9672,0.9308176100628931,0.9647979139504563,0.9475032010243277,0.889563877771425,0.5205535726680153,395,396,2,1.0,79.38708910346031
