shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
star_2d,0.03,10000,1,2,randcart,0,0.6814,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.4942139387130737e-05
star_2d,0.03,10000,1,2,randcart,1,0.6814,0.0,0.0,0.0,0.4698681732580039,0.37339716642565124,1,2,2,2.0,26.590340957976878
star_2d,0.03,10000,1,2,randcart,2,0.6956,0.8490269930947897,0.5134776006074412,0.6399337591672581,0.6559949780288763,0.4700137680064964,3,4,2,2.0,45.793631399050355
star_2d,0.03,10000,1,2,randcart,3,0.8015,0.8261142498430634,0.6477971941914841,0.726169126776107,0.798964218455744,0.5813766148479425,7,8,2,2.0,56.960522253997624
star_2d,0.03,10000,1,2,randcart,4,0.8494,0.7529817953546767,0.7694034637588197,0.7611040609137056,0.8640144381669805,0.6224430720807057,15,16,2,2.0,66.07783640176058
star_2d,0.03,10000,1,2,randcart,5,0.9117,0.9124293785310734,0.8279692395328966,0.8681499178736747,0.8968534212178279,0.6189710390236158,31,32,2,2.0,66.955730185844
star_2d,0.03,10000,1,2,randcart,6,0.928,0.8709981167608286,0.8998054474708171,0.8851674641148326,0.9187068424356559,0.6357257504176255,57,58,2,2.0,72.35328159108758
star_2d,0.03,10000,1,2,randcart,7,0.9393,0.8876333961079724,0.9190770230744232,0.9030815902921921,0.9151442198794986,0.554656231655672,96,97,2,2.0,72.11858105193824
star_2d,0.03,10000,1,2,randcart,8,0.938,0.9045825486503453,0.9011882426516573,0.9028822055137845,0.9303244210427422,0.56883447278568,146,147,2,2.0,77.4105394165963
star_2d,0.03,10000,1,2,randcart,9,0.9492,0.9017576898932831,0.9364406779661016,0.9187719859290053,0.9162929310579147,0.553321898608875,193,194,2,2.0,80.06989429425448
star_2d,0.03,10000,1,2,randcart,10,0.9599,0.9224733207784055,0.9502101519560298,0.9361363274406753,0.9067697492318365,0.5298128670026898,284,285,2,2.0,75.00341849960387
star_2d,0.03,10000,1,2,randcart,11,0.9629,0.9205900816070307,0.9613241560144214,0.9405162738496071,0.9084820717504754,0.5352852658761253,334,335,2,2.0,84.34642819408327
star_2d,0.03,10000,1,2,randcart,12,0.9665,0.9387947269303202,0.9552858511657617,0.9469684977046067,0.8969703467521895,0.5299985840320494,403,404,2,2.0,80.70080978889018
