shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
star_2d,0.05,10000,8,2,oc1,0,0.622,0.0,,,0.0,0.0,0,1,0,0.0,0.0010161036625504494
star_2d,0.05,10000,8,2,oc1,1,0.622,0.0,,,0.40529100529100526,0.26208804468956526,1,2,2,0.0,50.53546502441168
star_2d,0.05,10000,8,2,oc1,2,0.7081,0.8325396825396826,0.57923799006074,0.683165092803647,0.625925925925926,0.46862893124240323,3,4,2,2.0,86.27982871513814
star_2d,0.05,10000,8,2,oc1,3,0.8087,0.8391534391534392,0.7085101630556176,0.7683177909652417,0.6975812547241118,0.5169328031384313,6,7,2,2.0,110.79545788560063
star_2d,0.05,10000,8,2,oc1,4,0.8676,0.8021164021164021,0.8403547671840355,0.8207904710341093,0.7700854700854702,0.5264219396016199,12,13,2,2.0,129.61081897001714
star_2d,0.05,10000,8,2,oc1,5,0.8815,0.8494708994708995,0.8390384112882153,0.8442224267122388,0.7801587301587303,0.4843998003149592,21,22,2,2.0,142.09456619992852
star_2d,0.05,10000,8,2,oc1,6,0.8911,0.8404761904761905,0.8673218673218673,0.8536880290205563,0.8071071071071072,0.5052054072932306,36,37,2,2.0,153.46872635837644
star_2d,0.05,10000,8,2,oc1,7,0.9057,0.8248677248677249,0.9173286260664901,0.8686446580303664,0.838738298738299,0.49051090621260074,64,65,2,2.0,162.41480445675552
star_2d,0.05,10000,8,2,oc1,8,0.9174,0.8357142857142857,0.9390606420927468,0.8843784994400897,0.8681674806674808,0.4831640760377516,103,104,2,2.0,170.417931814678
star_2d,0.05,10000,8,2,oc1,9,0.9231,0.8478835978835979,0.9429243895263313,0.8928820169940104,0.8781002473310164,0.47847224959582246,168,169,2,2.0,187.09211087133735
star_2d,0.05,10000,8,2,oc1,10,0.93,0.8822751322751323,0.9289693593314763,0.9050203527815468,0.901292612685018,0.48788970874638404,236,237,2,2.0,201.57069571316242
star_2d,0.05,10000,8,2,oc1,11,0.9411,0.8944444444444445,0.9467936152338281,0.9198748469595973,0.8994446087613786,0.48693450125333726,321,322,2,2.0,217.756197957322
star_2d,0.05,10000,8,2,oc1,12,0.9491,0.9018518518518519,0.9610938821539329,0.9305309130612801,0.9075996870483087,0.4921731234452269,398,399,2,2.0,223.64054950140417
