shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
star_2d,0.05,10000,25,2,wodt,0,0.6291,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0004224209114909172
star_2d,0.05,10000,25,2,wodt,1,0.6291,0.0,0.0,0.0,0.2923968724723647,0.11496040372946137,1,2,2,2.0,0.058258600533008575
star_2d,0.05,10000,25,2,wodt,2,0.691,0.6850903208411971,0.5693479722159982,0.6218795888399413,0.4984497169048261,0.34033308448202093,3,4,2,2.0,0.14012916386127472
star_2d,0.05,10000,25,2,wodt,3,0.8176,0.795362631437045,0.7347447073474471,0.7638529259451061,0.676496360204907,0.5007822705758505,7,8,2,2.0,0.2288908762857318
star_2d,0.05,10000,25,2,wodt,4,0.8603,0.728767861957401,0.8736263736263736,0.7946494193738057,0.7665981396602859,0.5828713827601517,15,16,2,2.0,0.37090672366321087
star_2d,0.05,10000,25,2,wodt,5,0.8856,0.8193583176058237,0.8650725875320239,0.841595126003877,0.8224806268970857,0.6083952927266145,30,31,2,2.0,0.5826113345101476
star_2d,0.05,10000,25,2,wodt,6,0.8985,0.7837692100296576,0.9317307692307693,0.8513691609313223,0.8504650849285524,0.5814259543795925,57,58,2,2.0,0.8336021592840552
star_2d,0.05,10000,25,2,wodt,7,0.9042,0.8031814505257482,0.9289055191768008,0.8614806246385194,0.8615350049429316,0.5879775434603289,104,105,2,2.0,1.1730385264381766
star_2d,0.05,10000,25,2,wodt,8,0.9101,0.8393097870045835,0.9112997658079626,0.8738245614035088,0.8633808898031059,0.5805412890739801,177,178,2,2.0,1.6549519300460815
star_2d,0.05,10000,25,2,wodt,9,0.9151,0.8118091129684551,0.9522454142947502,0.876437199825353,0.86156559666475,0.5701161849686334,280,281,2,2.0,2.162257557734847
star_2d,0.05,10000,25,2,wodt,10,0.9199,0.8271771366945269,0.9504337050805453,0.8845322185382731,0.8686533313541411,0.5752911633941344,412,413,2,2.0,2.7346489457413554
star_2d,0.05,10000,25,2,wodt,11,0.9241,0.8390401725532488,0.950519242516799,0.8913074609766576,0.8710932152069273,0.5747807702710712,562,563,2,2.0,3.2451316956430674
star_2d,0.05,10000,25,2,wodt,12,0.9272,0.839579401455918,0.95903911302741,0.8953421506612996,0.8710690433990871,0.5671917847852996,725,726,2,2.0,3.555068515241146
