shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
star_2d,0.07,10000,1,2,hhcart_d,0,0.5695,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,7.643364369869232e-06
star_2d,0.07,10000,1,2,hhcart_d,1,0.5695,0.0,0.0,0.0,0.47003484320557476,0.3076286279750049,1,2,2,2.0,55.13766360282898
star_2d,0.07,10000,1,2,hhcart_d,2,0.605,0.9484320557491289,0.522724363077711,0.673984813469792,0.7101626016260163,0.48019764883247174,3,4,2,2.0,98.93947916198522
star_2d,0.07,10000,1,2,hhcart_d,3,0.7308,0.8610917537746806,0.6390277538355456,0.7336235899465665,0.8111207897793264,0.5116051599406224,7,8,2,2.0,134.39083796460181
star_2d,0.07,10000,1,2,hhcart_d,4,0.7736,0.8332171893147503,0.6988116111435807,0.7601186692095782,0.871588269454123,0.4747842726704641,15,16,2,2.0,155.19666579179466
star_2d,0.07,10000,1,2,hhcart_d,5,0.8227,0.8308943089430895,0.7739073993942016,0.801389044471827,0.9073098141695704,0.4892736431380409,31,32,2,2.0,172.7780965929851
star_2d,0.07,10000,1,2,hhcart_d,6,0.829,0.7716608594657375,0.8204494937021487,0.7953076370600909,0.9246367952401329,0.5083545874876256,56,57,2,2.0,186.40703619737178
star_2d,0.07,10000,1,2,hhcart_d,7,0.8469,0.7828106852497096,0.8497226424609178,0.8148954177245797,0.9245012826894363,0.5322419932710403,90,91,2,2.0,196.67896537669003
star_2d,0.07,10000,1,2,hhcart_d,8,0.8652,0.8225319396051103,0.8584242424242424,0.8400948991696323,0.9219721899599946,0.5428853248349386,143,144,2,2.0,204.47800751775503
star_2d,0.07,10000,1,2,hhcart_d,9,0.8764,0.840418118466899,0.8682505399568035,0.8541076487252124,0.9173286875725899,0.5473241675524507,209,210,2,2.0,208.01376141794026
star_2d,0.07,10000,1,2,hhcart_d,10,0.8855,0.8462253193960511,0.8829374697043141,0.8641916735855769,0.9079627689383787,0.5426108341594633,285,286,2,2.0,212.60528766922653
star_2d,0.07,10000,1,2,hhcart_d,11,0.8956,0.8492450638792102,0.902493211552703,0.8750598372426998,0.8947377825426606,0.5288072097172158,376,377,2,2.0,216.43323782179505
star_2d,0.07,10000,1,2,hhcart_d,12,0.9048,0.8747967479674796,0.9011725293132329,0.8877887788778879,0.8854408012944599,0.5248869821789128,467,468,2,2.0,220.53635188471526
