shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,0,0.701,0.0,,,0.0,0.0,0,1,0,0.0,0.0,0.0,,0.00043260399252176285
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,1,0.701,0.0,,,0.4498327759197325,0.38720243955657985,1,2,3,0.0,0.0,0.0,,6.461211279965937
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,2,0.8055,0.8812709030100334,0.6236686390532544,0.7304227304227303,0.6622073578595318,0.563803532243843,3,4,3,3.0,0.0,0.0,,11.893107915762812
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,3,0.8405,0.8795986622073578,0.6804657179818887,0.7673231218088986,0.7429526994744389,0.4975495714147682,6,7,3,3.0,0.0,0.0,,16.242644769139588
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,4,0.8675,0.8979933110367893,0.7246963562753036,0.8020911127707243,0.8227424749163879,0.5932779553264378,10,11,3,3.0,0.0,0.0,,19.041413374245167
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,5,0.8745,0.9347826086956522,0.7250324254215305,0.8166544923301681,0.8311916916035913,0.5980368294706824,18,19,3,3.0,0.0,0.0,,23.946309574879706
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,6,0.8895,0.7123745819397993,0.8968421052631579,0.7940354147250698,0.8298676748582232,0.6377889674385249,22,23,3,3.0,0.0,0.0,,25.46098042698577
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,7,0.9405,0.9297658862876255,0.8783570300157978,0.9033306255077173,0.8627749062531671,0.655082509366689,32,33,3,3.0,0.0,0.0,,30.6800361960195
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,8,0.955,0.9264214046822743,0.9233333333333333,0.9248747913188649,0.8658225832138877,0.6203453080597727,41,42,3,3.0,0.0,0.0,,32.522156360093504
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,9,0.969,0.939799331103679,0.95578231292517,0.9477234401349074,0.8951048951048952,0.5960410932588291,54,55,3,3.0,0.0,0.0,,35.98488692892715
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,10,0.972,0.9364548494983278,0.9688581314878892,0.9523809523809523,0.9007992744175501,0.6218200751611795,58,59,3,3.0,0.0,0.0,,36.808548998087645
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,11,0.9675,0.9264214046822743,0.9634782608695652,0.9445865302642796,0.9006630288094819,0.5566220377288196,56,57,3,3.0,0.0,0.0,,36.2891254988499
radial_segment_3d,0.003,2000,8,radial_segment_3d_fuzziness_003_2000_samples,3,oc1,12,0.968,0.9247491638795987,0.9667832167832168,0.9452991452991453,0.9053570380801506,0.6177610154917141,56,57,3,3.0,0.0,0.0,,35.19164143176749
