seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,0,0.694,0.0,,,0.0,0.0,0,1,0,0.0,5.580950528383255e-06
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,1,0.694,0.0,,,0.485838779956427,0.45117855906894455,1,2,3,0.0,7.443957352079451
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,2,0.7463333333333333,0.8344226579520697,0.5570909090909091,0.6681203663323158,0.6574074074074074,0.5128237223861467,3,4,3,3.0,12.488545882049948
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,3,0.804,0.900871459694989,0.6246223564954683,0.7377341659232827,0.7769607843137254,0.505541496454128,7,8,3,3.0,15.297398469876498
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,4,0.8446666666666667,0.8986928104575164,0.6886477462437396,0.779773156899811,0.85239651416122,0.5234844127245519,15,16,3,3.0,17.552723881788552
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,5,0.862,0.8899782135076253,0.7230088495575221,0.7978515625000001,0.9024866651641499,0.5895834042098864,28,29,3,3.0,19.27869400382042
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,6,0.872,0.9531590413943355,0.7195723684210527,0.8200562324273665,0.9022720199190788,0.5688334787963998,41,42,3,3.0,20.86414220603183
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,7,0.9043333333333333,0.8496732026143791,0.8396124865446717,0.8446128857606932,0.9037892934951759,0.5785841370643259,55,56,3,3.0,21.819075759034604
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,8,0.922,0.9400871459694989,0.8282149712092131,0.8806122448979593,0.8898708153057779,0.5692208047718819,70,71,3,3.0,22.258632607292384
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,9,0.934,0.9368191721132898,0.86,0.8967674661105318,0.8725743527385115,0.5463970693790401,85,86,3,3.0,22.627081067766994
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,10,0.954,0.8954248366013072,0.9513888888888888,0.9225589225589226,0.8631154684095861,0.5346874061363442,99,100,3,3.0,22.751323385629803
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,11,0.9586666666666667,0.9357298474945533,0.9296536796536796,0.9326818675352877,0.8683254978404615,0.5460026929708659,113,114,3,3.0,23.090177363716066
1,radial_segment_3d_fuzziness_003_3000_samples,3,hhcart_d,12,0.9646666666666667,0.9444444444444444,0.940347071583514,0.942391304347826,0.8616644880174293,0.5353506074834851,124,125,3,3.0,23.263223770074546
