shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.03,10000,1,3,hhcart_d,0,0.6938,0.0,,,0.0,0.0,0,1,0,0.0,5.33275306224823e-06
radial_segment_3d,0.03,10000,1,3,hhcart_d,1,0.6938,0.0,,,0.48105813193990854,0.44282606350695763,1,2,3,0.0,79.66141949314624
radial_segment_3d,0.03,10000,1,3,hhcart_d,2,0.7675,0.8262573481384716,0.5852417302798982,0.6851726472579553,0.6490855649902025,0.4864867560115258,3,4,3,3.0,130.47171817533672
radial_segment_3d,0.03,10000,1,3,hhcart_d,3,0.8033,0.8017635532331809,0.6435124508519003,0.7139741166206194,0.786087524493795,0.5260190002260425,7,8,3,3.0,159.15942786075175
radial_segment_3d,0.03,10000,1,3,hhcart_d,4,0.8476,0.8961463096015676,0.6946835443037974,0.7826583000570452,0.8645084911822338,0.5892491830729347,15,16,3,3.0,182.62101969961077
radial_segment_3d,0.03,10000,1,3,hhcart_d,5,0.857,0.9033311561071196,0.7092307692307692,0.794599253088193,0.8718890065091556,0.5344791922189509,28,29,3,3.0,193.35425252187997
radial_segment_3d,0.03,10000,1,3,hhcart_d,6,0.8895,0.7651861528412802,0.8585562477097838,0.8091866689690901,0.8855010631349278,0.5788951937881768,46,47,3,3.0,205.30002487730235
radial_segment_3d,0.03,10000,1,3,hhcart_d,7,0.9364,0.8967994774657086,0.8956294846705806,0.8962140992167101,0.9031164159874017,0.5714475515870894,72,73,3,3.0,209.4389426233247
radial_segment_3d,0.03,10000,1,3,hhcart_d,8,0.9432,0.8827563683866754,0.928228021978022,0.9049213257448946,0.9151547040181918,0.5693368135830741,107,108,3,3.0,215.1008558915928
radial_segment_3d,0.03,10000,1,3,hhcart_d,9,0.9545,0.9154147615937296,0.934644881627209,0.9249298795578287,0.9180698465479655,0.5743188445453331,153,154,3,3.0,216.80545797478408
radial_segment_3d,0.03,10000,1,3,hhcart_d,10,0.964,0.9412148922273024,0.9412148922273024,0.9412148922273024,0.9201873045623934,0.5660044734328025,206,207,3,3.0,218.99780019000173
radial_segment_3d,0.03,10000,1,3,hhcart_d,11,0.9699,0.9435009797517963,0.9575737487570434,0.9504852771837474,0.921225342913129,0.5670751000444414,249,250,3,3.0,220.27371299639344
radial_segment_3d,0.03,10000,1,3,hhcart_d,12,0.9754,0.9565643370346179,0.962853385930309,0.9596985583224116,0.9216221242470426,0.5705528069966028,287,288,3,3.0,220.68684206251055
