dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,splits,leaves,avg_active_feature_count,feature_utilisation_ratio,tree_level_sparsity_index,composite_interpretability_score,training_time
barbell_2d,2,hhcart,0,0.8373333333333334,0.0,,,0,1,0.0,0.0,,,0.0
sine_wave_2d,2,hhcart,0,0.9236,0.0,,,0,1,0.0,0.0,,,0.0
star_2d,2,hhcart,0,0.845,0.0,,,0,1,0.0,0.0,,,0.0
radial_segment_2d,2,hhcart,0,0.6916,0.0,,,0,1,0.0,0.0,,,0.0
rectangle_2d,2,hhcart,0,0.7492,0.0,,,0,1,0.0,0.0,,,0.0
barbell_3d,3,hhcart,0,0.859,0.0,,,0,1,0.0,0.0,,,0.0
radial_segment_3d,3,hhcart,0,0.7587,0.0,,,0,1,0.0,0.0,,,0.0
saddle_3d,3,hhcart,0,0.8022,0.0,,,0,1,0.0,0.0,,,0.0
barbell_2d,2,randcart,0,0.8373333333333334,0.0,,,0,1,0.0,0.0,,,0.0
sine_wave_2d,2,randcart,0,0.9236,0.0,,,0,1,0.0,0.0,,,0.0
star_2d,2,randcart,0,0.845,0.0,,,0,1,0.0,0.0,,,0.0
radial_segment_2d,2,randcart,0,0.6916,0.0,,,0,1,0.0,0.0,,,0.0
rectangle_2d,2,randcart,0,0.7492,0.0,,,0,1,0.0,0.0,,,0.0
barbell_3d,3,randcart,0,0.859,0.0,,,0,1,0.0,0.0,,,0.0
radial_segment_3d,3,randcart,0,0.7587,0.0,,,0,1,0.0,0.0,,,0.0
saddle_3d,3,randcart,0,0.8022,0.0,,,0,1,0.0,0.0,,,0.0
barbell_2d,2,oc1,0,0.8373333333333334,0.0,,,0,1,0.0,0.0,,,0.0010454654693603516
sine_wave_2d,2,oc1,0,0.9236,0.0,,,0,1,0.0,0.0,,,0.0011200904846191406
star_2d,2,oc1,0,0.845,0.0,,,0,1,0.0,0.0,,,0.0
radial_segment_2d,2,oc1,0,0.6916,0.0,,,0,1,0.0,0.0,,,0.0
rectangle_2d,2,oc1,0,0.7492,0.0,,,0,1,0.0,0.0,,,0.0
barbell_3d,3,oc1,0,0.859,0.0,,,0,1,0.0,0.0,,,0.0
radial_segment_3d,3,oc1,0,0.7587,0.0,,,0,1,0.0,0.0,,,0.0
saddle_3d,3,oc1,0,0.8022,0.0,,,0,1,0.0,0.0,,,0.0
barbell_2d,2,wodt,0,0.8373333333333334,0.0,,,0,1,0.0,0.0,,,0.0
sine_wave_2d,2,wodt,0,0.9236,0.0,,,0,1,0.0,0.0,,,0.001093149185180664
star_2d,2,wodt,0,0.845,0.0,,,0,1,0.0,0.0,,,0.0005781650543212891
radial_segment_2d,2,wodt,0,0.6916,0.0,,,0,1,0.0,0.0,,,0.0
rectangle_2d,2,wodt,0,0.7492,0.0,,,0,1,0.0,0.0,,,0.0
barbell_3d,3,wodt,0,0.859,0.0,,,0,1,0.0,0.0,,,0.0014383792877197266
radial_segment_3d,3,wodt,0,0.7587,0.0,,,0,1,0.0,0.0,,,0.0010797977447509766
saddle_3d,3,wodt,0,0.8022,0.0,,,0,1,0.0,0.0,,,0.001068115234375
barbell_2d,2,hhcart,1,0.8373333333333334,0.0,,,1,2,0.0,0.0,,,0.001087188720703125
sine_wave_2d,2,hhcart,1,0.9236,0.0,,,1,2,0.0,0.0,,,0.002636432647705078
star_2d,2,hhcart,1,0.845,0.0,,,1,2,0.0,0.0,,,0.0030655860900878906
radial_segment_2d,2,hhcart,1,0.6916,0.0,,,1,2,0.0,0.0,,,0.003133535385131836
rectangle_2d,2,hhcart,1,0.7492,0.0,,,1,2,0.0,0.0,,,0.003353595733642578
barbell_3d,3,hhcart,1,0.859,0.0,,,1,2,0.0,0.0,,,0.015141963958740234
radial_segment_3d,3,hhcart,1,0.7587,0.0,,,1,2,0.0,0.0,,,0.00655055046081543
saddle_3d,3,hhcart,1,0.8022,0.0,,,1,2,0.0,0.0,,,0.006566524505615234
barbell_2d,2,randcart,1,0.8373333333333334,0.0,,,1,2,0.0,0.0,,,0.0
sine_wave_2d,2,randcart,1,0.9236,0.0,,,1,2,0.0,0.0,,,0.0010027885437011719
star_2d,2,randcart,1,0.845,0.0,,,1,2,0.0,0.0,,,0.0010554790496826172
radial_segment_2d,2,randcart,1,0.6916,0.0,,,1,2,0.0,0.0,,,0.003909111022949219
