dataset,data_dim,seed,algorithm,depth,splits,leaves,accuracy,coverage,density,f_score,training_time,avg_active_feature_count,feature_utilisation_ratio,tree_level_sparsity_index,composite_interpretability_score
barbell_2d,2,1,hhcart,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,1.239776611328125e-05,0.0,0.0,,
barbell_2d,2,1,randcart,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,1.0728836059570312e-05,0.0,0.0,,
barbell_2d,2,1,oc1,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0007295608520507,0.0,0.0,,
barbell_2d,2,1,wodt,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0010433197021484,0.0,0.0,,
barbell_2d,2,1,hhcart,1,1,2,0.8366,0.0,,,0.025815725326538,0.0,0.0,,
barbell_2d,2,1,randcart,1,1,2,0.8366,0.0,,,0.0566589832305908,0.0,0.0,,
barbell_2d,2,1,oc1,1,1,2,0.8366,0.0,,,25.75614309310913,0.0,0.0,,
barbell_2d,2,1,wodt,1,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0009891986846923,0.0,0.0,,
barbell_2d,2,1,hhcart,2,3,4,0.8366,0.0,,,0.0088751316070556,2.0,1.0,0.0,
barbell_2d,2,1,randcart,2,3,4,0.8366,0.0,,,0.0044877529144287,2.0,1.0,0.0,
barbell_2d,2,1,oc1,2,2,3,0.8366,0.0,,,36.9456479549408,2.0,1.0,0.0,
barbell_2d,2,1,wodt,2,1,2,0.8366,0.0,,,0.0672612190246582,0.0,0.0,,
barbell_2d,2,1,hhcart,3,4,5,0.8366,0.0,,,0.0146095752716064,2.0,1.0,0.0,
barbell_2d,2,1,randcart,3,7,8,0.8366,0.0,,,0.0072526931762695,2.0,1.0,0.0,
barbell_2d,2,1,oc1,3,4,5,0.8854,0.7380660954712362,0.6268191268191268,0.6779089376053962,43.29323697090149,2.0,1.0,0.0,
barbell_2d,2,1,wodt,3,2,3,0.8366,0.0,,,0.1427702903747558,2.0,1.0,0.0,
