seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,gini_coverage_class_1_leaves,gini_density_class_1_leaves,splits,leaves,runtime
1,barbell_2d_fuzziness_007,2,oc1,0,0.5438,0.0,,,0.0,0.0,0.0,0.0,0,1,0.00029799999902024865
1,barbell_2d_fuzziness_007,2,oc1,1,0.6364,0.9438842612889083,0.5602393963049701,0.7031352057478774,0.44388426128890823,0.3350934066394562,0.0,0.0,1,2,13.071015800000168
1,barbell_2d_fuzziness_007,2,oc1,2,0.8088,0.8658483121437965,0.7523809523809524,0.805136567468406,0.6493862341078473,0.4778276204281473,0.0,0.0,3,4,21.729477999993833
1,barbell_2d_fuzziness_007,2,oc1,3,0.827,0.8303375712406839,0.7984822934232715,0.8140984311197076,0.7391494958351599,0.4324367376638858,0.0,0.0,6,7,26.709502300000167
1,barbell_2d_fuzziness_007,2,oc1,4,0.837,0.868478737395879,0.7936698717948718,0.8293908310655222,0.80458132398071,0.38308816409194657,0.484351337708228,0.11177257181063083,11,12,31.807581700006267
1,barbell_2d_fuzziness_007,2,oc1,5,0.8458,0.8483121437965805,0.8199152542372882,0.8338720103425986,0.8416364433462198,0.4042308168344786,0.8178663713547438,0.13070814593814783,21,22,38.700292399997124
1,barbell_2d_fuzziness_007,2,oc1,6,0.8528,0.8189390618149934,0.8525787311729803,0.8354203935599285,0.8659445472139948,0.47999680080568785,0.8430712756194556,0.11597348236414362,40,41,47.15425610000966
1,barbell_2d_fuzziness_007,2,oc1,7,0.8706,0.8491889522139413,0.8647321428571428,0.8568900685689007,0.8833639302937308,0.4998423865817676,0.8542028441357299,0.10111828295372871,63,64,44.14453349998803
1,barbell_2d_fuzziness_007,2,oc1,8,0.8974,0.8557650153441473,0.9138576779026217,0.883857822051166,0.8891390294283763,0.5024438857832911,0.8728576751117736,0.061582331548374336,110,111,58.466048500005854
1,barbell_2d_fuzziness_007,2,oc1,9,0.9118,0.8719859710653223,0.9303086997193639,0.90020366598778,0.8899242618936036,0.4924527163501966,0.8784505255093491,0.06985677078466868,144,145,68.55942119999963
1,barbell_2d_fuzziness_007,2,oc1,10,0.9222,0.8952213941253836,0.9315693430656934,0.9130337581041806,0.8908009867125137,0.5085298559732245,0.8579070293076174,0.04485839654997492,216,217,79.48338829999557
