seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,splits,leaves,fit_time,convert_time,eval_time,total_time
1,barbell_2d_no_noise,2,oc1,0,0.7306,1.0,0.2694,0.4244524972427918,0,1,0.0006697000007989118,1.2200000128359534e-05,0.004558500000712229,0.005241000000751228
1,barbell_2d_no_noise,2,oc1,1,0.7306,0.0,0.0,0.0,1,2,38.23815409999952,4.350000017439015e-05,0.05985250000048836,38.29805149999993
1,barbell_2d_no_noise,2,oc1,2,0.7306,0.0,0.0,0.0,3,4,52.6876529000001,4.6799999836366624e-05,0.09119180000016058,52.77889239999968
1,barbell_2d_no_noise,2,oc1,3,0.8518,0.7646622123236823,0.7083906464924347,0.73545162441985,5,6,57.33977820000109,4.579999949783087e-05,0.09159229999931995,57.43141680000008
1,barbell_2d_no_noise,2,oc1,4,0.8874,0.947290274684484,0.7217194570135747,0.8192616372391655,8,9,60.99114080000072,9.26000011531869e-05,0.13382679999995162,61.125061200000346
1,barbell_2d_no_noise,2,oc1,5,0.9298,0.9725315515961396,0.8066502463054187,0.8818579602827331,12,13,69.40736060000017,0.00014659999942523427,0.14757229999850097,69.5550801999998
1,barbell_2d_no_noise,2,oc1,6,0.9636,0.9220489977728286,0.9416224412433661,0.9317329332333083,17,18,73.26698720000059,0.00012820000119972974,0.11711130000003322,73.38422730000093
1,barbell_2d_no_noise,2,oc1,7,0.976,0.9658500371195249,0.9461818181818182,0.955914768552535,24,25,69.3567020999999,0.00015490000077988952,0.15950689999954193,69.51636460000009
1,barbell_2d_no_noise,2,oc1,8,0.983,0.9740163325909429,0.9632892804698973,0.9686231081579919,31,32,72.16701339999963,0.00020990000120946206,0.18216949999987264,72.34939369999847
1,barbell_2d_no_noise,2,oc1,9,0.9856,0.9851521900519673,0.962291515591008,0.9735876742479823,36,37,71.90174320000006,0.00022950000129640102,0.220031700000618,72.12200500000108
1,barbell_2d_no_noise,2,oc1,10,0.987,0.9821826280623608,0.9699413489736071,0.9760236075248985,40,41,68.92610800000148,0.0004361000010248972,0.15922239999963494,69.08576710000125
