seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,gini_coverage_class_1_leaves,gini_density_class_1_leaves,splits,leaves,runtime
1,barbell_2d_fuzziness_007,2,randcart,0,0.5438,0.0,,,0.0,0.0,0.0,0.0,0,1,5.699999746866524e-06
1,barbell_2d_fuzziness_007,2,randcart,1,0.5438,0.0,,,0.00197281893906176,0.00697254382773127,0.0,0.0,1,2,0.00246020000486169
1,barbell_2d_fuzziness_007,2,randcart,2,0.753,0.7794826830337571,0.7083665338645418,0.7422250052181172,0.3091845681718546,0.29568692268880437,0.03937007874015741,0.01273036574992914,3,4,0.003798699995968491
1,barbell_2d_fuzziness_007,2,randcart,3,0.752,0.7786058746163963,0.7072879330943848,0.7412353923205343,0.38727531784305125,0.36818110552495664,0.14386261261261257,0.10857496607275707,7,8,0.0056502000079490244
1,barbell_2d_fuzziness_007,2,randcart,4,0.8054,0.7908811924594477,0.7843478260869565,0.7876009604889762,0.4480217010083296,0.42583836529939667,0.1279695913842256,0.11171347386315444,15,16,0.010056099999928847
1,barbell_2d_fuzziness_007,2,randcart,5,0.838,0.8128014028934678,0.8287885561019223,0.8207171314741036,0.4820939281017096,0.4575255120453914,0.16057944213284014,0.11775299475794854,31,32,0.011299500009045005
1,barbell_2d_fuzziness_007,2,randcart,6,0.847,0.7996492766330556,0.8555347091932458,0.8266485384092453,0.5726995117084162,0.4795309170140114,0.3003887559808611,0.11621877383667134,57,58,0.015920899997581728
1,barbell_2d_fuzziness_007,2,randcart,7,0.8594,0.8123629986847873,0.8707706766917294,0.8405534134724427,0.5831122084035163,0.48906675494700447,0.31058970710886546,0.10425796817092081,113,114,0.029413200012641028
1,barbell_2d_fuzziness_007,2,randcart,8,0.8716,0.809732573432705,0.8987834549878345,0.8519372693726937,0.6467424428737931,0.49568664829741427,0.40243873731785973,0.10434865162336338,204,205,0.038834199993289076
1,barbell_2d_fuzziness_007,2,randcart,9,0.8826,0.8084173608066637,0.9247743229689067,0.8626900584795321,0.7190657402404086,0.5022429702975724,0.5614462747793219,0.09874266319894764,343,344,0.056481699997675605
1,barbell_2d_fuzziness_007,2,randcart,10,0.8956,0.8377904427882508,0.9263208919049928,0.8798342541436465,0.7593876981073833,0.5045991854031346,0.6428060527806938,0.10851508822207867,550,551,0.09195000000181608
